stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,81.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
  5-6,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.89,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,3.85,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,1,3.73,0,0,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.38,1.32,0,0,5.36,9.05,0,0,0,0
 36-46,0,0,0,0,1.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,59.74,0,0.84,0,8.57,4.17,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.8,3.41,0,0.64,0,0,0,0,0,0,0,0,0,0,95.45,1.41,0,0,6.25,13.52,0,0,0,4.9
 60-70,0,0,1.59,0,11.67,0,0,8.07,0,0,5.22,0,0,0,0,0,0,1.16,0,0,0,143.13,0.58,1.12,0,0.97,10.5,0,0,0,0
 72-82,0,0,0.78,0,0,2.01,0,20.57,0,0,1.33,0.6,0,0,0,0,0,0.64,1.2,0,0,122.2,0,0,0,2.68,6.61,0,0,0,0
 84-94,0,0,0,0,2.05,0,0,24.86,0,0,3.31,0.59,1.75,2.16,0.9,0,10.93,0.81,0.93,0.6,1.01,104.71,0,1.7,0,13.47,3.12,0.74,0,0.62,0
 96-106,0,0,1.15,0,0,0,0,19.33,0,1.53,2.24,0.75,0,0.73,0,0,0,5.64,0.69,0,0,41.02,0,0,0,2.68,11.07,0,1.39,0,0
108-118,0,0,0,0,0,0,1.65,36.83,0,0.48,4.37,4.96,0,1.03,0,2.42,0,1.27,0,0,0,79.21,0,0,0,5.12,0,0.89,0,0,0
120,0,0,0,0,10.38,0,0,8.07,0,0,16.41,0,0,0,0,0,0,0,0,0,0,116.39,0,0,0,0,0,0,0,0,0
