stage,blastomeres,endoderm,eye,neural,paraxial_mesoderm
  3-4,84.84,0,0,0,0
  5-6,55.22,0,0,0,0
  7-9,0,3.64,11.81,26.21,6.02
 10-12,0,6.56,0,24.2,14.94
