stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,28.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0
 14-21,0.89,0,0,0,1.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0
 48-58,0,0,0,0,0,1.92,1.11,0,0,0,0,0,0,2.45,0,0,0.73,6.6,0,0,0.99,0,0.66
 60-70,0,0,0,0,0.58,0,1.52,0,0,0,0,0,0,0.65,0,0,1.06,5.55,0,0,0,0,0
 72-82,0,0,0.78,0,0,1.2,0.72,0,0,0,0,0,5.77,5.89,0,0,1.92,10.22,0,0,0,0,0
 84-94,0,0,0,0,0,1.4,0,1.92,0.8,0,0,0.57,0,0,0,0,8.49,4.65,0,0,0,0,0
 96-106,0,0,0,1.03,0,11.56,0.6,0,1.68,0.72,0,0,1.03,1.35,0,0,0.93,11.86,0,0,0,0,0
108-118,0,0,0,0,1.13,11.51,0,0,4.49,1.73,0,0,2.19,3.59,0,0.56,0,5.92,0,0,1.2,0,0
120,0,0,0,0,0,2.1,0,0,5.87,2.75,2.21,0,0,4.4,1.56,0,1.81,4.07,0,4.83,0,1.23,0
