stage,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,7.32,0,0,0
 14-21,0,0,0,0,0,1.02,5,0,0,0,0,0
 24-34,0,0,0.81,1.48,1.79,0,6.49,1.88,0,2.17,1.66,8
 36-46,0,1.47,1.25,1.16,2.97,0,3.69,0,0,0,5.55,0
 48-58,0,0,1.56,0.47,2.26,0,0,0,0,0,0.77,0
 60-70,0,0,6.69,0,1.63,0,1.26,0,0,0,0,0.74
 72-82,0,0,1.83,0.6,1.93,0,1.72,0,0,0,0,0
 84-94,0,0,1.82,1.68,0.61,0,2.42,0,0,0,0,0
 96-106,0,0,0.59,4.43,2.71,0,1.75,0,0,0,0,0
108-118,0,0,4.57,0,0,0,1.11,0,0,0,0,0
120,1.65,0,2.76,10.17,2.76,0,0,0,0,0,0,0
