stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,77.37,601.16,0,0,0,0,0,0,0,0,0,0,9.9,0,0
  5-6,40.69,722.89,0,0,0,0,0,0,0,16.14,0,0,19.36,0,0
  7-9,14.17,5.64,0,0,0,0,6.4,0,0,98,0,26.87,0,0,0
 10-12,0,0,0,0,7.08,0,0,0,0,3.72,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.14,2.21,0,0,0,1.29,4.97
 24-34,0,0,0,0,0,1.39,0,0,0,2.21,0,0,0,0,0
 36-46,0,0,0,0,0.84,0,0,0,3.44,0.67,0,0,0,0,0
 48-58,0,0,0,0.55,0.56,0,0,0,0,7.6,0,0,0,0,0
 60-70,0,0,0,0,3.58,0,0,0,2.27,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.55,0.68,0,0.88,0,0,0,0
108-118,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,12.03,0,0,3.52,0,17.24,0,0,0,0,12.5
