stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.55,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.91,0,0,0,0,0,14.78,0,3.9,0,5.78,0,0,0,0,0,0
 14-21,0,1.07,0,95.51,0,1.77,0,0,0,1.24,0,0,0,0,0,0,0,0,0,4.2,0,0,0,97.24,0,4.26,0,0,0,47.57,1.02,0,0,0,81.29,0,0,0,0,0
 24-34,0,1.94,0,235.77,0,21.53,0.68,20.73,0,4.75,0.63,0,0.69,0,1.21,0,2.62,0,0,26.32,3.64,0,9.52,2243.43,0,55.81,0,0,0,438.94,3.15,0,0,0.77,464.99,0,0,3.64,0,0
 36-46,0,1.52,0,277.71,0,80.51,13.29,68.65,0.94,22.86,0,0,2.44,0.98,8.67,0,0,1.34,0,17.48,8.56,2.21,5.7,5547.04,0,72.35,0,0,0,711.77,0,0,0,0,937.65,0,0,13.86,0,6.22
 48-58,0,0,0,200.97,0,591.63,15.26,38.25,0,59.17,0,0,0,0,0,0.38,1.93,5.56,0,36.06,0.82,0,14.68,7098.75,0,52.58,4.33,0,0,382.58,0,0,0,0,1067.34,0,0,1.5,0,7.51
 60-70,0,1.17,0,236.21,2.06,1163.59,17.19,31.87,0,52.27,0,0,0,2.45,1.19,0,2.82,1.63,5.58,37.35,0,5.99,6.36,8171.73,3.13,20.58,8.93,0,0,451.76,0,4.8,0,0,1145.66,1.22,4.08,0.96,2.72,6.92
 72-82,0,1.03,0,47.99,4.66,802.59,2.47,27.76,7.38,68.84,0.86,0,0,0,0,0,2.15,0,0,52.22,1.27,8.87,1.33,6146.58,3.31,35.79,8.03,0,0,146.98,0,4.56,1.5,0,668.01,1.83,5.98,1.19,2.29,35.56
 84-94,0,1.81,0,65.53,8.48,822.5,0.66,17.53,2.76,67.6,0,0.99,2.33,4.61,5.15,3.41,3.15,0,0,59.41,7.58,5.93,3.09,4186.74,0,38.63,14.15,0,0,321.71,0,0,1.43,0,570.79,0,7.24,0,5.97,6.59
 96-106,0,0.61,0,42.9,23.44,467.15,0,9.3,6.2,79.54,1.38,0,0,1.48,0.73,0.6,11.69,15.75,0.98,42.38,4.89,1.14,3.61,3088.58,0,40.04,1.4,0,1.94,176.04,0,0,16.13,0,191.41,3.48,3.66,2.83,2.9,8.52
108-118,0,2.91,0,75.8,2.17,473.52,0.75,12.32,0,75.8,1.49,0,0.86,0.53,12.36,0,1.26,0.43,0,52.95,5.84,6.33,4.36,3418.52,0.43,36.05,6.55,0,1.8,199.52,0,0,0.69,0,157.38,1.55,7.08,1.55,4.83,0
120,0,0,0,80.83,1.84,796.55,2.62,40.2,0,220.65,13.83,0,3.65,8.92,10.02,6.33,15.71,0,0,102.91,2.78,32.93,2.55,6762.84,0,41.25,18.13,0,11,193.2,0,5.54,1.22,0,309.11,1.37,0,12.03,20.02,0
