stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  3-4,0,43.21,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0
  5-6,22.27,236.7,6.55,0,0,0,0,0,0,0,0,29.39,0,0,0,0
  7-9,0,0,14.25,7.91,0,0,0,0,0,138.18,0,13.57,0,0,0,0
 10-12,0,0,0,16.98,0,0,4.32,0,0,81.74,0,20.77,0,0,0,0
 14-21,0,0,0,2.38,0,0,0,0,0,31.67,1.88,0,0,0.99,5.02,0
 24-34,0,0,0,2.54,0,0,0,0,0,20.68,0,0,0,0,9.72,0
 36-46,0,0,0,6.35,0,10.17,0,0,1.19,6.81,0,0,0,0,4.85,1.43
 48-58,0,0,0,2.31,0,11.75,0,0,0,15.43,0,0,0,0,3.9,0
 60-70,0,0,0,1.05,0,3.04,0,0,0,5.48,0,0,0,0,0.99,0
 72-82,0,0,0,8.01,0,2.74,0,2.58,0,5.58,0.57,0,0,0,0,0
 84-94,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.16,0,0,0,0,0,2.25,0,0,0,0,0,0
120,0,0,0,1.31,0,0,0,0,0,23.98,0,0,0,0,0,0
