stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.46,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,31.87,0,195.36,0,0,37.32,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,2473.03,82.04,0,0,442.19,0,0,0,0,0,0,0,0,0
 10-12,0,108.92,0,918.31,0,0,49.42,0,0,0,12.67,0,0,0,0,0,0,0,0,0,0,5715.73,154.29,0,0,491.22,0,0,25.04,0,23.37,0,0,0,0
 14-21,0,0,19.59,26.69,43.61,14.46,0.92,0,179.2,39.59,4.49,0,0,0,1.85,0,0,22.05,0,0,4.16,1321.92,26.04,0,0.94,18.35,0,3.89,3.63,8.87,1499.22,0,0,0,0
 24-34,0,0,13.07,0.94,5.87,0,6.74,0.78,87.02,3.4,3.85,0,0,0,0.92,0,2.06,3.85,0,0,8.87,1309.57,45.14,0,0,0,0.78,0,0,2.79,1061,0,0,13.39,0
 36-46,0,0,8.74,0,0.72,0,7.15,0,58.7,1.67,0,0,0,0,2.82,0,0,10.58,0.65,0,0,790.09,17.83,0,0,0,0,0,0,0,582.38,0,0,0,0
 48-58,1.15,0,1.63,0,3.4,2.62,22.98,0,94.67,0.51,0,0,1.24,0,4.02,0,0,12.72,0,0.46,0.49,665.21,19.98,0,0,0,5.63,0,0,0,507.78,0,0,0,1.08
 60-70,0,0,10.91,0,3.69,0,36.81,0,98.46,1.9,0,0,0,0,10.41,0,0,1.94,0,0,0,414.24,10.43,0,1.23,0,0,0,0,0,388.16,0,1.5,8.63,0
 72-82,0,0,6.27,0,0.7,0,23.21,0,162.39,3.04,0,0,0,0,14.72,0,3.86,30.33,0,0,0,252.23,2.57,0,0.54,0,3.29,0,0,0,257.26,0,0,0,0
 84-94,0,0,2.11,4.94,7.52,0,24.39,0,123.88,11.25,0,0.7,0,0,37.97,0,0,6.3,0,0.96,2.61,111.67,7.05,0,0,0,0,0,0,0,134.77,0,0.84,0,0
 96-106,0,0,2.97,2.76,2.36,0.98,17.02,0.57,141.49,12.01,0,0,0,0,17.51,0.7,0,2.58,0,0,0,127.88,2.65,0.57,0,0,0.99,0,0,0,116.48,0,0,0,0
108-118,0,0,3.81,1.49,0.42,0.56,4.66,0,206.44,6.97,0,0,0,0.86,64.4,0,0,3.71,0,0,3.01,143.08,1.72,0,0,0,0,0,0,0,76.93,1.2,0,0,1.42
120,0,0,0,0,1.13,0,19.33,0,252.94,1.02,0,0,1.18,0,40.1,0,0,0,0,0,1.56,195.78,0,0,0,0,0,0,0,0,128.02,0,0,0,0
