stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,48.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.72,0,0,0,0,0,0,0,0,0
  5-6,15.96,136.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.22,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,20.93,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,1.38,0.82,0,2.8,0,0,0,1.23,2.99,0,0,0,0,0,2.09,0,0,0.84,15.16,1.68,0,1.65,0,0,2.81,2.54,0,0,0.83,4.28,0,0,0,0
 24-34,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,5.55,0,0,2.51,50.75,0,0,0,0,0,13.36,0,0,0,0.71,6.71,0,0.72,0,0
 36-46,0,0,0,3.03,0,0,6.29,1.2,0,0,1.79,1.33,0,6.81,0,0,0,12.9,0,0,0.72,127.67,0,0,0,0,0,5.11,0,0,1.04,0,30.17,0,0,0,0
 48-58,0,0,0,0.45,0,0,47.81,1.28,0.55,0.57,8.64,0,0,0,0.39,0,0.4,7.56,1.71,0.72,0.81,127.86,0,0,0,0,0,0.46,0,0,3.34,0,18.51,0,0.96,0,1.31
 60-70,0,0,0,7.38,0,0,112.71,0.73,0.9,0,11.64,0,0,0,0,0,0,8.08,0,0,1.77,138.27,0,0,0,0,0,19.56,0,0,2.16,0,18.84,0.63,0,0,0
 72-82,0,0,0,0,1.89,0,288.04,0,0,0,16.37,0,0,0,0,0,0,13.3,0,7.31,2.55,142.51,0,0,0.61,0,0,0.82,0,4.52,0,0,8.42,0,0.83,0,0
 84-94,0,0,0,1.65,0,0,190.44,0,0,0,15.23,0,0,0.68,0,0,0,4.44,0,0,2.01,79.15,0,0,0,0,0,4.56,0,0,0,0,5.2,0,0.66,0,0
 96-106,0,0,0,4.36,0,0,217.41,0,0,0,12.61,0,0.66,0,0,0.82,0.68,5.32,0,1.32,0,72.61,0,0,0,0,1.54,1.32,0,0,0,0,8.61,1.03,0,0,0
108-118,0,0,0,0,0,4.38,254.95,0,1.3,5.56,5.99,0,0,2.09,0,0,0,5.75,0,0,0.73,102.95,0,0.55,0,0,0,2.61,0,0.55,0,0,2.91,0,0,0,0
120,0,0,0,2.05,14.27,0,325.64,0,5.32,0,2.89,0,3.29,7.01,0,0,0,14.12,0,0,0,73.69,0,0,0,0,0,1.01,0,0,0,0,1.19,0,0,5.89,0
