stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.2,490.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.75,585.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,23.31,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.75,0,9.34,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.13,0,0,48.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.4,0,0,0,3.81,0,0,0,0,0,33.94,0,0,0,0,0,5.32,0,0,0,0,0,50.99,0,0,43.49,0,11.08,0,0,7.87,0,7.71,0,0,0,0,0,0
 14-21,0,0,23.17,0,9.73,3.39,0,0,0,0,0,0,0.85,19.26,0,1.12,0,0,0,58.02,0.95,2.33,0,0,2.47,23.52,0,0,0,0,3.03,0,5.32,0,7.7,30.81,10.55,0,0,5.35,0,0
 24-34,0,0,21.24,0,7.83,0,0,14.91,0,0,0.68,2.69,0,6.33,0,7.4,0.63,0,0,91.35,12.81,17.21,0,0,14.58,80.57,1.32,0,0,0,0.81,0,0,3.02,0.88,2.34,18.05,0,0,46.93,0,7.85
 36-46,0,0,16,0,10.73,0,0,38.98,0,0,3.07,12.29,0,0,0,19.8,0,2.97,0,27.11,0.77,36.61,0,0,14.11,90.48,4.62,0,0,0,0,0,0,0,0,0,26.1,0,0,15.46,0,3.23
 48-58,0,0,19.73,0,0.52,0,0,48.64,1.08,2.04,8.24,37.82,0,0,0,19.15,0,1.4,0,0.41,3.49,52.67,0,0,6.3,96.39,2.78,0.42,0,0,1.73,0,0,0,0,0,30.74,0,0,20.87,0,13.14
 60-70,0,0,4.19,0,1.02,3.05,0,27.4,0,0,2.59,45.42,0,1.21,0,49.03,3,0,0.72,0.68,9.89,80.06,1.02,1.7,8.67,64.01,2.87,0.84,0,0,0,0,0,9.32,0,0,10.74,0.77,0,11.57,0,0.77
 72-82,0,0,14.07,0,3.19,0,0,32.71,0,0,10.45,52.5,0,0,0,34.08,0.53,0.59,0,1.07,0,97.74,1.84,0.98,4.4,86.24,7.72,6.75,1.13,0,0.7,0,0,9.14,0,0,15.57,1.35,0,21.15,0.91,4.05
 84-94,0,0,14.98,0,6.81,0,0,32.77,0,0.86,3,16.61,2.7,0.76,0,24.7,0,3.22,0,0.89,0,60.56,0,0,7.55,69.89,2.56,4.61,0,2.68,5.12,0,0,7.66,0,0,0.82,0,0.68,22.59,0,0
 96-106,0,0,20.87,0,5.29,0,0,13.79,2.27,0,1.88,49.58,3.61,0,0.73,25.53,2.14,4.12,1.3,0,0.71,91.65,0,0.93,6.2,27.65,6.49,10.83,0,4.15,2.96,1.35,0,8.98,0.8,0,9.59,2.03,1.88,20.89,0.95,13.13
108-118,0,0,9.93,0,7.41,0,1.69,51.77,1.54,0,7.92,47.15,3.39,0,0,13.34,1.87,6.57,0,0,1.34,86.86,1.41,5.02,4.71,48.67,2.25,3.95,0,0,5.84,0,0,6.26,0,0,7.43,1.28,0,16.2,0,4.67
120,0,0,1.85,0,15.19,5.32,0,39.38,0,0,10.35,71.43,1.92,5.2,0,22.91,1.77,10.85,0,1.84,0,74.85,0,0,16.13,60.5,3.29,12.01,0,0,1.02,0,0,3.1,0,0,7.54,0,0,39.03,0,2.08
