stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,4.69,0,0,0,0,0,0,1.04,1,0,0.89,0,0,0,0
 24-34,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.78,0,0,0.89,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.77,0,1.75,0,0,0,1.28,0,0,3.58,0,0,0,0,0,0
 60-70,0,0,0,0.63,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,81.16,0,0,0.73,0,2.85,0,0,0,0
 72-82,0,0,0,1.23,0,0,4.59,0,0.59,0,9.69,0,0,0,5.56,1.06,0,0.57,9.53,0,0.59,7.45,0,3.78,0,0,0,348.17,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.88,0,0,0,0,1.02,0,4.59,0,0,0,4.5,0,0,0,0,0,0,3.47,0,19.84,0,0,0,512.03,0,0,0.83,0,0,0,0,0,0
 96-106,0,0,0,19.25,12.29,0.62,68.19,0,26.84,0,61.43,0,1.33,0.86,66.86,6.53,3.93,14.26,44.9,0.7,0,116.84,0,12.65,1.05,0,0,4522.38,1.35,0,0.97,1.62,17.66,1.88,5.57,4.49,0
108-118,0,0,0,22.37,2.95,0.5,11.81,3.03,25.24,0.73,27.25,1.82,0,1.29,62.35,0.48,0,9.19,69.69,0,0,50.97,0,24.91,1.07,0,3.32,3372.25,0,0,1.04,0,0,0.79,0,8.9,8.09
120,0,0,0,30.71,0,0,27.79,0,27.87,0,50.94,0,0,0,74.05,0,0,20.21,40.51,0,18.25,63.32,0,55.31,14.64,0,0,2688.86,0,0,0,0,0,0,0,0,0
