stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,384.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,62.8,370.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.77,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,22.39,0,0,0,35,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,341.38,9.76,0,0,121.92,0,8.69,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,7.51,20.45,0,0,0,21.34,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,351.58,9.28,0,0,82.72,0,0,0,0,19.65,0,5.09,0,0,0,0,0
 14-21,0,0,0,2.91,3.02,0,1.81,0,0,0,1.18,0,0,0,0,0,0,0,3.95,0,0,1.63,38.85,0,0,0,0,0,0,0,1.93,0,5.47,5.77,0,0,1.22,0,0
 24-34,0,0,0.86,3.34,0,0,7.55,0,0,0,5.73,0,4.06,0,0,0,1.24,0,13.37,0,0,4.62,146.88,0,1.22,0,0,0,2.01,0,0,0,1.24,39.5,0,0,8.11,0,0
 36-46,0,0,0,3.5,0,0,34.09,0,0,0.78,1.89,0,0,0,0,0,0,0,10.83,0,0.67,1,133.19,3.48,3.11,0,0,0,2.7,0,0,0,0,43.05,0,0,14.61,0,0.64
 48-58,0,0,0,3.93,0,0,47.05,0,0,0,12.71,0,0,0.47,0,0,0.48,0,8.02,0,0,0.92,132.93,0.39,0.86,4.9,0,0,0.47,0,0,0,0,31.66,0,0,0.5,0,0
 60-70,0,0,0,4.35,0,0,85.1,0,3.31,0,10.61,0,0,0.98,0,0,0,0,34.67,0,0,5.26,174.03,0,0,0.63,0,1.08,4.47,0,0,4.67,0,33.46,0,0,4.19,0,2.67
 72-82,0,0,0,6.63,7.48,0,86.87,0,0,1.76,13.71,0,0,0.51,0,0,0,0,20.16,0,0,1.2,117.33,0,3.45,1.58,0,0,2.15,0,0,0,0,19.49,0.8,0,1.1,0,0
 84-94,0,0,0,3.58,14.84,0.92,80.23,0,0.92,0,16.28,0,0,0.59,0,0,0,0,31.72,6.09,3.39,2.79,94.25,1.85,3.6,0.92,0,2.3,12.98,0,0,0,0,9.94,1.53,0,0,0,2.4
 96-106,0,0,0,0.8,15.9,0,85.33,2.38,0,0,13.27,0,0,0,0.81,0,1.33,0,22.53,0,0,1.2,102.45,0,0,0,0,0,3.89,0,0,0,0,17.02,0,0,5.21,1.57,1.36
108-118,0,0,1.06,5.88,12.43,0,81.68,0.56,1.5,0.66,23.09,0,0.71,1.8,0.9,3.6,0.56,0,35.91,0.96,1.88,1.27,143.94,0.69,1.9,0.52,0,2.35,1.5,0,0,0,0,12.38,0,1.16,2.01,8.53,0
120,0,0,0,2.24,12.9,0,49.05,0,2.35,12.97,32.91,0,0,0,0,0,0,6.54,50.21,0,0,3.21,190.59,2.98,0,8.12,0,0,5.39,0,0,2.05,0,5.58,2.25,0,0,0,0
