stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,115.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,90.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.22,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.56,10.62,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.67,0,12.19,0,0,0,22.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.68,8.19,0,0,43.04,0,0,0,0,7,0,0,0,0,0,0,0,0
 14-21,0,0,1.61,1,0,0,0,1.48,0,1.94,0,3.72,0,0,0,0,0,0,0,0,0.83,0,0,0.94,65.81,0,0,0,0,0,0,0,3.43,0,0,2.07,37.61,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,9.13,0,16.72,0.72,2.15,0.69,0,0,0,0,0,0,0,2.67,0,0,1.89,799.31,0.66,1.57,0,0,0,3.47,0,0,2.94,0,0.7,328.49,0,0,4.6,0,0
 36-46,0,0,0.73,0,1.86,0,0,27.63,1.6,5.73,0,11.34,0,0,0,0,0,0,0,8.78,10.11,0.73,1.94,5.83,2347.51,0,2.37,0,0,0,6.15,0,0,0,0.7,0,882.51,0,0,8.37,0,0
 48-58,0,0,0.53,0,24.31,0,0,282.05,0,9.22,2.19,37.23,0,0,0.5,4.12,11.44,0.44,0,15.6,59.37,7.16,1.74,9.35,4430.72,7.74,3.27,0.63,4.77,0,14.31,0,0,0,1.43,0,1075.53,0,0,4.58,0,21.2
 60-70,0,0,0,0,13.42,0.93,0,1021.49,3.76,14.2,5.19,81.39,0.62,1.29,0.67,0.62,15.12,0,1.41,14.48,69.98,2.49,5.2,3.78,9232.89,0,6.78,1.23,0,2.07,29.55,0,0,0,1.71,0,1538.92,0,0,0.73,0.98,41.3
 72-82,0,0,7.78,0,50.1,29.62,0,2466.38,0.96,20.52,23.49,148.36,2.76,0,5.93,0.53,16.18,1.75,11.03,6.94,160.75,0,1.12,8.85,11424.26,0,5.19,7.42,0,1.61,15.87,1.65,0,0,2.54,0,1489.81,4.15,2.94,18.47,5.24,59.03
 84-94,0,0,2.65,0,80.97,30.33,0,2217.33,7.58,8.01,9.48,156.78,11.32,1.02,15.03,1.48,3.59,0.69,7.83,0,84.81,0,3.76,8.38,9040.89,0.57,15.08,2.41,0,0,52.7,0,0,0,0,0,1106.52,5.68,2.97,12.78,0,14.6
 96-106,0,0,0,0,65.18,67.4,9.83,2106.95,0.88,11.79,13.2,224.24,2.08,4.38,13.94,0.9,5.56,1.64,24.56,5.57,174.01,4.26,6.34,6.3,7953.5,1.71,12.91,2.75,0,9,47.28,0,0,3.34,1.32,0,722.01,7.29,9.2,8.05,7,25.2
108-118,0,0,0.52,0,75.99,16.96,0.48,2198.56,1.69,6.33,6.22,170.31,5.24,1.46,11.25,2.1,3.65,0.96,10.67,1.34,139.47,4.16,3.6,6.28,11714.7,0,7.02,5.83,0,2.77,11.12,0,0,0,0,0,517.91,5.69,0,16.5,4.91,10.08
120,0,0,0,0,119.88,39.83,0,2620.75,3.49,14.4,17.62,311.69,2.61,2.77,31.51,0,1.25,0,6.69,0,165.35,4.56,19.72,0,17926.09,8.4,24.73,22.62,0,0,33.89,0,0,3.15,7.71,0,934.47,10.87,2.68,96.73,1.43,26.81
