stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,3.71,87.19,0.96,0,0,0
 24-34,0,0,0.93,0,1.08,0,0,0,0,0,0,0,0,2.1,0,0,4.57,0,0,4.29,193.19,3.52,0,0,0
 36-46,0,0,0,0,0.67,0,0,0,0.56,0,0,0,0,0.77,0,0,5.97,0,0,11.03,91.54,2.59,0,2.29,0
 48-58,0,0,0,0,8.82,0,0,0,0,0,0.85,0,0,0.56,0,0,8.14,0,0,0.5,57.19,0,0,0,0
 60-70,0,0,0,0,4.99,1.68,1.69,0,0,0,0,0,0,1.12,0,0,13.84,0,0,1.19,47.44,0,0,0,0
 72-82,0,0,6.39,0,2.06,0,0,0,0,0,0,0,1.65,1.49,0,0,16.87,0,0,0.54,43.56,0,0,1.66,0.7
 84-94,0,0,0,0,0.91,0,0.94,0,0,0,0,0,0,1.29,0,2.95,8.79,0,0,4.57,158.91,0,1.07,0,1.63
 96-106,0,0.71,0.77,3.54,11.4,0,0.89,0,0,0,0,0,0,1.65,3.81,0.75,15.64,0,0,10.33,119.02,0.64,1.21,2.42,0
108-118,0,0,0,0,1.42,0,0,0.95,0.59,0,0,1.09,0.93,7.48,0,0,23.74,0.46,0.43,0.45,111.91,0,0,2.31,0
120,0,0,0,0,1.86,0,0,8.81,0,0,0,0,0,0,0,0,23.42,0,0,0,80.76,9.86,12,1.96,0
