stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,10.9,20.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,1.1,33.25,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,33.94,0,0,1.01,3.05,0.61,0,0
 36-46,0,0,0,0,0,1.21,0,0,0,0,0,0,0.73,0,0,10.08,81.23,0,0,0,16.55,0,0,1.27
 48-58,0,0,0,0,0,1.09,0,0,0,0,0,0,1.4,0,0,23.09,46.61,0,0,0,23.17,0,0.5,0
 60-70,0,0,0,0,0,4.86,0,2.79,0,0,0,0,2.59,7.24,0.82,21.67,24.75,0,0,0,63.65,0,3.82,2.67
 72-82,0,0,0,0,0.54,16.21,0,0,0,0.9,0,0,8.97,0,0,60.92,19.78,1.04,0,0,247.59,0,0.65,0
 84-94,0,0,0,0,1.82,18.64,0,0,1.22,0.6,0,0,7.58,0,0,38.18,28.97,0.71,2.88,4.92,845.68,0,1.56,0
 96-106,0,0,0,0.77,0,6.43,0,0,1.79,0.63,1.61,6.2,0.89,0,0.95,34.9,27.86,0,0,0,474.68,0,0,0
108-118,0,0,2.52,0,5.49,14.59,2.41,5.86,0,3.32,0,0,13.92,0,0,58.19,26.6,0,0.91,1.35,672.16,0,0,0
120,0,0,0,0,4.68,0,0,0,0,0,0,1.66,16.1,0,0,29.36,40.88,0,0,2.25,347.38,0,2.1,0
