stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,17.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95,0,0,6.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,2.29,0,0,0,0,6.17,0,0,0,0.89,1.23,0,0,0,0,0,0,0,9.39,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.8,0,0.96,0,0,0,0,0,0,0,0,3.41,40.41,0,0.78,0.65,0,0,0,0,0.6,45.5,0,0,0,0
 36-46,0,0.61,0,0,0,3.21,0,0,0,0.97,0,0,0,0,0,0,0,0,0,76,0.84,5.22,1.66,0,0,0,0,0,69.74,0,0,0,0
 48-58,0,0,0.82,0,0,9.33,0,0,1.14,10.26,0,0.47,0,0,0,0,0,0.49,0,191.06,0,4.43,2.18,0,0,0,0.62,0,72.18,0,0,0,7.87
 60-70,0,0,2.08,0,0,64.51,0,0,3.28,6.59,0,0,8.1,0,0,0.62,2.49,0,0,347.42,0,4.68,7.01,0,0,0,0,0,55.85,0,0,0,0
 72-82,0,0,5.09,1.18,0,70.96,0,0,2.47,5.82,0,0,0,0,0,2.89,0,0.67,0,302.75,0,29.4,21.73,0,0,0,0,0,61.69,0,2.68,1.8,0
 84-94,0,0,0.69,0,0,76.35,0,0,0,2.43,0,3.22,0,0,0,2.6,0,0,0.93,152.47,0,13.33,36.27,0,0,1.22,0,0,25.76,0,6.24,3.02,0
 96-106,0,0,1.37,0,0,65,0,0,0.74,3.33,0,1.35,0,2.34,0,0,0,1.7,0,142.06,0,8.76,34.27,0,0,2.79,0,0,12.07,0,0.56,0,0
108-118,0,0,0,0,2.51,53.87,0,0,1.44,4.41,0,0.43,0,0.95,3.15,2.88,0,0,0,221.64,0,9.99,22.6,0,0,0,0,0,11.49,3.2,0.61,0,0
120,0,0,9.48,0,0,109.38,2.29,0,0,38.6,0,1.69,0,0,0,9.47,0,0,0,360.64,0,13.3,27.87,0,11.36,2.47,0,0,24.01,0,0,0,0
