stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,4.24,0,0,4.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.64,12.48,0,0,0,0,24.83,0,0,0,0,0
 14-21,0,0,0,2.71,1.52,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,114.47,0,0,2.64,11.63,0,0,0,0.62,0,0,0,0,0,0,0,0.77,2.9,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,136.09,0,0,2.07,26.19,0,0,0,3.36,0,0,0,0,0,0,0,0,35.52,0.6,0,0.63,0,0.81,0,2.46,0,0,0,0
 48-58,0,0,0,152.31,0,0,8.52,51.58,1.02,0,3.68,0.48,0,0,0,0,2.79,0,0,0,11.91,0.4,0,0,0,0,0,2.79,0,0,0,4.7
 60-70,0,0,0,168.53,0,0,9.82,49.7,2.66,0,0,3.47,0,0,1.16,0,1.43,1.71,0,0,28.53,2.88,0,0,0,0,0.63,2.29,0,0.63,0,0
 72-82,0,0,0.75,70.06,0,0,1.36,55.33,0,0,0.86,1.71,0,0,0,6.91,3.39,1.29,9.75,0,7.12,1.55,0.76,0,0,0.94,0,0,0,1.63,7.16,0
 84-94,0,0,0,269,0,0,15.46,75.14,2.46,0,0,6.53,1.25,0,0,0,0,1.78,0,0,1.18,6.15,0.61,0,0,0.56,0,0,0.6,0,0.66,0
 96-106,0,1.08,0,79.09,0,0,0.62,25.76,3.93,3.25,0,4.43,1.51,0,0,0,12.34,0,0,1.79,12.62,0,1.13,0,0,1.25,0,0,0.7,0,0.64,0
108-118,0,0,0,144.48,0,1.56,0,49.72,4.99,2.34,0,3.44,1.67,0.69,0,0,2.71,0,0,0,2.09,2.35,2.57,0,0,0.48,0,0,0.51,0,2.82,0
120,0,0,0,111.32,1.08,0,0,17.77,16.5,2.95,7.84,14.67,0,0,0,0,2.77,1.49,0,0,0,2.06,0,0,0,0,0,0,0,0,15.01,0
