stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,17.61,0,5.76,0,0,0.89,0,0,0,0,0,0,0,8.03,0,0,2.63,49.93,7.01,1.55,0.93,7.33,0,2.09,8.3,2.01,2.61,19.5,0,0,0,0
 24-34,0,1.81,15.51,0,19.94,1.06,0,4.63,1.08,0,3.75,1.77,0,0,0,25.72,0,0,15.92,238.63,16.68,1.05,4.5,0,0,22.93,0,0.93,4.17,52.35,0,6.73,0,0
 36-46,0,0,1.2,0,30.48,0,0,2.44,0,0,2.79,0.58,3.69,0,0,16.23,8.3,0,4.27,42.34,1.44,0,0,0,0,4.08,0,0,0,6.38,0,0,0,0.81
 48-58,0,0,3.8,4.85,176.97,1.65,0,11.58,0,1.49,0.85,0,0.47,0.41,0,68.91,0,1.55,13.81,122.39,1.82,1.28,0,0,0,12.75,0.92,0,0,23.28,0,4.21,0,6.31
 60-70,0,0,0.71,0,40.21,2.35,2.5,1.31,0,0,1.25,0,2.88,0,0,16.19,0,0.79,3.19,59.66,0.66,0,0,0,0.71,14.7,0,0,0,5.42,0,0,0,0
 72-82,0,0,1.86,0,50.11,2.88,0,5.87,1.62,0,2.67,0,0,0.83,0.64,25.34,0.83,1.31,0,50.53,0.62,1.08,0.59,0,0,5.3,0,0,0,3.05,0,0,0,0
 84-94,0,0,1.22,0,25.25,0,0,2.88,0,0,2.9,0.61,0,0,0,12.89,0,0,4.45,19.4,0.57,0,1.69,0,0,4.52,0,0.57,0,3,0,0,0,0
 96-106,0,0,6.23,2.41,67.97,0,1.63,21.95,0,0,8.13,0,0.67,0,0,26.29,0,0.58,1.62,48.28,0.57,0,1.74,0,0,3.76,0,2.22,0,1.83,0.92,5.65,3.79,5.9
108-118,1.03,0,3.91,0,21.93,0.58,0,5.55,0,0,6.66,0,0,0.84,0,23.65,0,2.22,2.73,49.64,0,0,0,0,0,2.5,0,0.78,0,0,0,0,0,0
120,0,0,2.6,2.71,19.2,0,2.48,11.75,1.09,0,5.4,0,1.17,0,0,41.73,0,0,2.14,31.71,0,1.45,2.94,0,11.71,7.7,0,0,0,4.66,0,0,0,0
