stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.3,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,2.37,0,0,2.84,25.87,0,0,0,0,0,0,0,1.82,10.92,0,0,0,0,3.62
 24-34,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0.72,0,0,1.78,0,0.69,4.86,28.87,0,0,0,0,0,0,0,0,9.88,0,0,0.65,0,0
 36-46,0,0,0,0.68,2.44,0,0,2.13,0,3.21,0,0,0,0,0,0,0,7.58,0,0,5.97,20.54,0,5.98,0,0,0,0,0,0,13.35,0,0,0,0,0
 48-58,0,0,0,7.18,0,0,0,0.94,0,0.77,0,0,0,0,0,0,0,8.19,0,0,0.63,60.62,0,0,0,0,0,0,0,0,11.49,0,0,0,0,2.14
 60-70,0.89,0,0.68,58.46,0,1.34,0,2.35,0,0,0,0,0,0.79,0.82,0,0,14.53,0.9,0,1.49,139.2,0,2.04,0,0,7.76,0,0,0,52.63,0,0,0.68,0,0.97
 72-82,0,2.39,32.08,114.75,0,1.95,0,13.47,0,0.65,0,0,0,0,0,0,0,47.63,0.61,3.75,0.67,314.61,0,3.26,0,0,4.5,0,0,0,103.36,0,1.19,0,0,0
 84-94,0,1.22,41.11,86.6,0,0,0,14.83,0,0,0,0,0.69,1.05,0.66,0,0,31.22,9.94,0.86,0,87.72,0,4.84,0,0,0.57,0,0,0,62.79,0,1.67,9.14,0,0
 96-106,0,3.06,139,298.29,0,1.61,0,31.63,3.88,0,0,0,4.79,0.58,4.49,9.94,0,75.24,1.42,4.18,3.71,237.92,0,5.27,1.77,0,11.73,1.12,0,0,60.38,8.02,4.84,0,0,0
108-118,0.94,14.31,70.24,398.12,0,6.22,2.27,82.15,3.73,0,0,1.38,2.41,0,2.47,0,10.56,138.59,19.22,3.79,6.19,250.68,1.68,5.68,14.8,3.26,18.26,0,1.9,0,38.26,13.5,8.92,0.78,1.2,2.03
120,0,33.62,162.43,565.45,3.87,9.05,6.73,189.07,5.14,0,6.72,2.38,4.11,6.51,11.77,16.67,0,401.07,17.7,24.33,13.65,838.88,10.25,22.88,33.49,9,32.3,1.83,3.56,0,111.33,3.03,3.14,52.82,6.27,2.85
