stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,periderm,spinal_cord
  3-4,0,52.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.32,0,0,0,0,0,0,0,0,0,12.6,0,0
 24-34,0,0,0,0,0,0,0,0.64,0,0,0,0,0,1.49,0.72,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.1,0,0,2.97,0,0
 48-58,0,0,0,1.26,1.1,0,0,0,0,0,0,0.57,0.48,5.34,0,0
 60-70,0,0,0,0.81,0,0,0,0,0,6.48,0,0,0,0,0,0
 72-82,0,0,0,3.55,0,0,0.64,0,0,0,1.96,0,0,7.87,0,0
 84-94,0,0,0,0,0,0,1.33,0,0,0,1.07,0,0,2.27,0,0
 96-106,0,0,0.74,0,0,0.63,4.84,0,1.98,0,1.72,0,0,0,0,2.29
108-118,0,0,0,0,0,0,2.75,0,0,0,2.82,0,0,0,1.67,0
120,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0
