stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,85.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.81,167.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.83,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05,0,0,23.82,0,0,9.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.27,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.62,0,0,29.32,0,0,0,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,5.88,0.94,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,259.6,0,188.04,40.83,0,0.8,0,0,0,0,5.42,0.91,64.77,7.79,0.9,0,0,0,0
 24-34,0,0,0,3.69,0,0,2.16,6.69,0,1.37,0,1.75,0,0,0,1.42,0.85,1.41,0,645.54,0,48.69,125.2,0,3.49,0,0,2.01,0,0.85,0,82.02,9.55,14.51,0,3.32,0,0
 36-46,0,0,0,2.73,0,0,11.27,25.14,0,3.64,2.55,0,0,2.51,0,13.46,0.74,0,0,1026.3,0,124.58,102.5,0.9,0,0,0,2.28,0,3.6,0,70.9,0,14.27,0,0,0,0
 48-58,0,0,0,3.69,0,0,32.47,29.89,0.93,12.53,2.91,0,0,0,0,0,0.51,0,2.55,1096.4,0.44,225.42,173.44,0,0,0,0,0.64,0,0,0,71.07,0,16.35,0,0.98,0,0
 60-70,0,0,0,0,0,0,33.85,44.54,0,20.56,12.58,0,0,0,0,0,0,1.2,0,999.45,1.11,199.76,72.22,0,0,0.81,5.06,3.16,0,0,0,31.07,0,14.69,0,0,0,0
 72-82,0,0,0,1.9,0.73,0,80.64,41.54,5.05,31.05,2.42,0,0,0,0,0,3.86,0,0,1130.76,2.13,153.7,77.99,0,0,0,1.96,0.94,0,4.38,0,26.03,0,11.85,0.77,1.51,0.53,0
 84-94,0,0,0,1.92,2.86,0,104.06,32.16,2.61,28.18,15.68,0,0.76,0,0.95,0,1.04,1.81,0,994.27,6.75,100.07,61.89,1.52,0,0,0,0,0,0,0,45.52,0,6.55,0.63,0,0,0
 96-106,0,0,0,4.03,1.12,1.84,61.74,52.08,2.08,12.15,2.55,0,0,0,1.35,0,0,0,1.15,663.41,2.43,91.17,84.36,0,7.32,0,0,1.99,0,0,0,32.24,0,2.97,1.88,2.74,3.85,0
108-118,0,0,0.49,8.53,0,0,49.83,22.83,0,39.47,0.51,0,0,0,4.59,0,0,2.12,0,893.01,0,126.16,98.75,0.71,2.95,0,4.09,1.85,0,0,0,37.75,0,6,1.31,0,1.13,2.17
120,0,0,0,1.39,0,0,38.64,55.81,1.06,12.08,9.39,0,0,9.97,3.52,0,0,0,0,762.47,0,95.62,17.61,0,0,0,18.18,5.49,0,0,0,4.82,0,0,0,0,0,0
