stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,35.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.12,3.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.29,0,0,0,0,1.02,8.26,0,0,0,0,0,0,0,0,5.17,0.82,0
 24-34,0,0,0,0,0,0,0,0,7.14,0,0.61,3.28,0,0,0,0,0,0.62,2.67,0,0
 36-46,0,0,0,0.71,1.13,0,0,0,9.8,1.26,0,5.43,0,0,0,0,0,0,0.97,0,0
 48-58,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0
 60-70,0,0,0,0,2.65,0,0,0,0,2.04,0,1.22,0,0,0,0,0,0,0.88,0.68,0
 72-82,0,0,0,0,5.69,0,1.94,0.7,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.7,1.59,2.84,1.46,0,0,0,3.62,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.11,17.01,0,0,0,4.24,2.44,0,0.68,0,0.99,0.84,0,0,0,0,0,0
108-118,0,0,0.65,0,67.64,0,1.81,1.51,0,0,0,2.44,0,0,0,0.48,2.61,0,0,0,4.23
120,0,0,0,0,12.13,0,0,8.27,0,0,0,8.35,0,0,0,0,1.14,0,1.34,0,0
