stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.19,43.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.84,0,8.3,0,0,11.91,0,0,0,4.45,0,0,0,0,0,0,0,0,0,184.14,0,0,0,30.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.98,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,109,0,0,0,42.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.4,0,0.81,0,0.88,1.1,0,0,0,0.95,0,0,6.81,0,0,5.67,99.39,0,0,0,0,0,3.03,3.89,0,2.47,29.98,0,0,0,0
 24-34,0,0,0.8,0,0.84,0,5.28,0,0,2.58,0,0,0,0,0,0,13.37,0,0,1.06,395.58,0.83,5.87,0,0,0,0.89,0,0,0,65.98,0,0,0.6,0
 36-46,0,0,0,0,0.61,1.93,28.43,0,0,14.05,0,1.43,0,0,0,0,14.03,0,0,2.96,505.76,0.92,8.1,0,0,0,0.6,0,0,0,65.38,0,0,0.7,0
 48-58,0,0,0,0,8.35,2.22,48.01,0,0,21.68,0,0,0,0,0.45,0,17.65,0,0.53,0.92,570.42,0,2.53,0.39,0,0.56,0,0,0,0,69.23,0,0,1.34,0
 60-70,0,0,0,0,0,0,83.7,1.01,0,7.06,0,0,0,0.64,0,0,26.89,0,0,0.68,475.72,0,1.93,0,0,0,0,0,0.68,0,81.05,0,1.93,0,0
 72-82,0,0,0,0,2.39,2.03,116.76,0,0.71,23.23,0,0,0,0,0,0,10.86,0,0.96,0,586.4,0,15.41,1.06,0,0,0.52,0,0,0,71.8,0,1.84,1.28,0
 84-94,0,0,0,0,2.63,0,70.45,0,0,8.5,0,0,0,0.61,0,0,16.43,0,1.95,1.81,469.92,0,6.18,0,0,0,0,0,0,0,22.08,2.72,0,1.8,1.13
 96-106,0,0,0.61,0,0,0,51.09,0,0,10.06,0,0,0.78,0,0,10.33,21.45,3.31,7.35,0,290.42,0,0.57,0,0,0,0.68,0,0,0,11.61,0,0,0,0
108-118,0,0,0,0,5.4,1.03,44.34,0,0,15.09,0,0,0,0,0,0,8.06,0,0,0,408.97,0,0.77,0,0,0,1.31,0,0,0,11.52,0,0,0,0
120,0,0,0,0,0,0,62.81,0,0,15.06,0,0,0,0,0,0,13.7,0,12.46,0,724.39,0,0,0,0,0,0,0,0,0,25.05,0,0,0,0
