stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,362.69,3308.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.33,0,0,0,0,0,0,0,0,0,0
  5-6,287.76,2136.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1,17.23,0,0,16.86,0,33.34,0,0,0,0,0,0,0,0,0,0
  7-9,20.88,26.45,0,13.73,0,0,0,23.4,0,0,0,0,0,28.79,0,0,0,0,0,0,0,0,0,0,0,270.85,5.11,0,0,66.85,0,0,26.94,0,0,0,0,0,0,0,0,0
 10-12,0,32.61,0,5.03,0,6.59,0,13.32,0,0,0,0,0,52.15,0,0,0,0,0,0,0,0,0,0,0,502.24,20.11,0,0,84.84,0,5.07,9.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.36,0,0,1.64,0,0,0,8.44,0,0,0,0,0,0,0,0,0,0.93,0,0,0.95,83.49,0,0,2.58,0.92,0,3.51,0,1.52,2.51,1.17,0.85,37.45,0,0,0,0
 24-34,0,0,0,0,4.37,0,0,14.74,0,0,0,6.1,1,1.09,1.94,0,0,0,0.63,3.08,1.07,3.87,0.86,0,0,181.14,0.62,3.46,2.9,0,0,23.17,0,0,4.79,0,0,60.17,0,0,0,0
 36-46,0,0,0,0,0,0,0,28.34,0,0,0,15.69,0,0,0,0,0,0,0.92,0,9.44,2.13,0,0,1.07,183.03,0,6.3,14.76,0,0,11.61,0,0,3.18,0,0,45.35,0,2.41,0,0
 48-58,0,0,0.96,0,0.78,0,0,36.28,0,0,0.45,13.27,0,0,0,0,0,0,1.34,0,17.28,0.9,0.48,0,0,64.75,4.08,1.88,6.4,0,0,2.54,0,0,0.74,0,0,18.13,0,0,0,0.47
 60-70,0,0,0.7,0,0,0,0,80.95,0,5.27,0,21.2,4.35,0,0,0,0,0,0,0.87,2.49,3.57,0,0,0,109.81,0,3.87,0.91,0,0,22.1,0,0,0,0,0,20.2,0,1.68,0,0
 72-82,0,0,0,0,1.89,0,0.76,51.66,0.74,0,0,20.71,0.55,0,0,0,0,0,1.47,0,0,4.39,2.28,0.72,0,54.99,0,13.88,4.02,0,0,4.77,0,0,0,0,0,14.28,0,1.46,0,0
 84-94,0,0,0,0,1.58,0,0.92,41.17,0,0,0,13.87,1.83,0,0,0,0,0,0,0,0.67,6.64,2.3,2.23,0,45.78,0,2.78,2.27,0,0,24.61,0,0,0,0,0,11.17,1.37,0,0,0
 96-106,0,0,0,0,6.37,0,1.05,35.25,0,0,0,19.85,3.03,0,0,0,0,0.79,3.41,0,0,0,0,0,0,50.01,0,11.28,7.92,0,1.17,15.06,0,0,0.67,0,0,0,6.39,0,0.81,1.89
108-118,0,0,2.91,0,5.3,0,1.93,28.66,0,1.12,0,14,1.05,0,0.49,0.56,3.2,0,0.6,0,2.02,0.64,0,0,0,57.92,0.54,0.47,4.66,0,0,17.5,0,0,0.72,0,0,4.11,6.73,2.19,0.56,0
120,0,0,0,0,14.37,0,3.12,13.87,0,5.05,5.18,25.54,11.54,0,4.83,0,0,0,0,0,0,5.32,0,2.03,3.15,82.6,0,2.89,0,0,0,27.11,0,0,0,0,0,2.14,0,0,7.78,0
