stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.99,0,0,11.77,0,0,0,0,0
 10-12,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,15.83,4.24,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,9.04,0,0,0,0
 24-34,0,0,5.54,0,0,0,0,0,0,0,21.99,3.03,2.33,1.48,0,0,26.19,0,0,0,52.9,8.09,0,0,0
 36-46,0,0,1.24,0,0,0,0,0,0,0,31.17,0.85,0,2.85,1.37,0,18.62,0.64,0,0,65.55,4.9,0,0,0
 48-58,0,0,0,0,5.01,0,0,0,0,0.37,22.5,0,0,1.02,1.11,0.58,13.36,0,0,0,38.33,1.39,0,0,0
 60-70,0,0,0,0,8.13,0,0,0,0,0,22.19,0,0,4.32,0,0,13.7,0,0,0,28.82,0,0,0,0
 72-82,0,0,0,0,5.56,0.91,0,1.08,0,0,14.45,0.54,0,11.04,0,0,5.27,0,0,0,4.57,1.62,0,0,1.34
 84-94,0,0,1.22,0,5.34,0,1.2,1.18,0,0,25.5,3.37,0,38.67,0,0,6.18,0,0,0,48.6,0,1.7,0,0
 96-106,0,0,3.68,4.43,1.34,0,0,0.93,0.76,0,34.62,0,0,9.31,0,0,10.84,0,0,0,51.77,0,9.88,1.6,0.61
108-118,0,0,6.38,0,12.67,0,0,1.44,2.63,0,35.56,6.23,0,16.74,4.8,0,18.93,0,0.64,0,68.4,0,15.31,0,0
120,0,0,1.72,0,0,0,2.17,0,1.92,0,81.73,0,0,6.19,1.1,0,18.43,0,0,0,32.93,0,1.31,0,0
