stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.39,0,0,0,173.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.91,0,0,0,32.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.53,0,5.73,0,0,0,255.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708.74,0,0,0,38.55,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.56,4.65,0,38.23,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,2269.14,1.41,1.83,4.45,0,0,0,7.35,0,0,3.64,381.44,0,0,0,0,0
 24-34,0,0,0.9,0,2.25,0,0,45.82,0,0,0,8.16,0,0,0,0,0,0,0,0,10.52,0,0,3.61,4784.62,0,25.85,0,0,0,1.3,0,0,0,0.69,848.85,0,0,4.68,0,0
 36-46,0,0,0,0,4.11,0,0,1145.2,0.82,0,0,126.68,0,1.41,0,0,0,0,2.54,1.1,12.42,0,0,1.63,12540.51,0,6.49,3.54,0,0,3.7,0,0,0,0,743.64,0,0,10.94,0,1.52
 48-58,0,0,0,0,38.44,4.28,0,4827.82,19.6,2.17,4.39,313.61,0,1.11,0.47,1.11,2.03,1.78,0,6.14,62.98,0,0.83,4.07,17552.29,4.6,3.84,3.14,0,0,5.36,0,0,0.68,0,1559.64,0,0,10.87,0,19.55
 60-70,0,0,0,0,8.94,0,0,4604.67,0,2.07,8.4,196.39,4.04,0,5.9,0,0,1.43,3.95,0,91.69,0,14.08,5.4,12885.97,10.66,0,1.81,0,0.71,3.1,0,2.26,0,0,1924.52,2.51,0,2.89,0,29.89
 72-82,0,0,0.68,0,30.43,16.96,0,5417.85,0,4.38,10.29,217.08,1.07,0.58,0.59,0,20.25,0,0,1.71,117.09,0,2.08,23.51,10404.52,1.29,16.27,10.63,0,0,13.55,0,0.73,0,0,2167.14,4.74,2.62,4.64,9.29,37.14
 84-94,0,0,2.29,0,129.96,0.64,0,3769.63,3.47,2.4,3.55,243.6,1.53,3.32,7.52,2.33,11.2,0,0,4.39,84.28,0.86,8.33,11.65,6638.76,1.11,0,4.57,0,6.4,12.65,0,0,0.69,0,1751.36,0,4.02,1.9,3.8,2.78
 96-106,0,0,0,0,90.88,21.95,0.66,3177.92,2.54,5.19,8.39,273.1,0,2.73,12.9,0.6,0,0,16.06,0,104.1,2.96,1.53,9.73,6149.81,1.53,13.9,10.18,0,1.51,11.29,0,0,0.76,0,466.01,2.26,0,8.59,0.56,22.04
108-118,0,0,0,0,53.34,6.67,0.55,3757.42,0.56,6.12,5.51,209.51,5.39,2.73,5.12,2.9,0,0.43,9.2,0,75.41,2.39,5.32,1.26,8647.35,1.01,18.2,1.01,0,0,7.34,0,0,0,0,142.52,6.2,0,11.44,2.87,5.03
120,7.1,0,0,0,53.56,18.43,7.39,2838.88,0,1.21,0,300,0,0,6.27,9.89,0,0,27.08,0,55.85,0,6.81,24.42,7549.38,0,21,2.33,0,0,6.73,0,2.26,0,0,43.43,0,1.32,29.58,0,0
