stage,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,1.18,7.2,0,2.4,0,0,0.81,0.93,0,0,0,0
 24-34,0,0,2.18,0,0,4.18,0,17.96,0,0,0,0,0,0,0,0,0,3
 36-46,0,0,4.31,0,0,0.64,0,9.63,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.94,0,0,2.49,0.55,15.46,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,4.32,0,0,1.46,0,22.51,1.82,0,0,0,0,0,0,0,0,0
 72-82,0,0.76,4.37,0,0,4.2,0,12.78,0,0,1.31,0,0,0.91,0,0,0,0
 84-94,0,0,7.93,0.91,0,5.1,0,6.73,0,0,4.47,0,0,0,0,3.21,0,0
 96-106,0,0,0,0,0,0.89,0,6.4,0,0,0,0,0,0,0,0,0,0
108-118,6.4,0,2.61,0,7.84,1.28,0,1.91,0,0,0.55,0,0,0,2.27,0,1.05,0
120,0,0,1.65,0,10.24,4.36,0,2.74,0,0,0,1.58,0,0,0,0,0,0
