stage,blastomeres,epidermis,eye,glial,mesenchyme,mural.cell,neural,paraxial.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,4.7,4.66,0,0
 10-12,8.79,0,0,0,0,0,0,3.49,0,0
 14-21,0,0,0,0,0,0,0,0,1.21,0
 24-34,0,0.68,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,10.09,0,0,0
 48-58,0,0,0.66,1.28,0,0,10.42,0,0,0
 60-70,0,0,5.2,0,0,0,11.04,0,0,0
 72-82,0,0,1.55,0,0,1.75,10.54,0,0,4.94
 84-94,0,0,11.04,0,0,0,0,0,0,0
 96-106,0,0,1.55,0,1.22,0,0,0,0,0
108-118,0,0.74,0,0,0,0,1.81,0,0,0
120,0,0,2.05,0,0,0,14.1,0,0,0
