stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,5.28,0,0,0,0,0
 10-12,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,18.19,0,0,0,0,0,0,0,0,0
 14-21,2.85,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0
 24-34,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,6.28,0,0,6.85,0,0,0.61,0,0,0
 36-46,0,0,10.15,0,1.19,0,0,0,0.89,0,0,0,0,0,0,70.09,0,0.59,20.88,0,0,5.74,0,0,0
 48-58,5.82,0,22.28,0,1.34,0.39,0,0,0,0,0,0,1.5,0,0,195.72,0.5,0,1.84,0,0,3.43,0,1.83,0
 60-70,0,0,167.2,0,7.99,1.96,3.38,0,0,1.1,0,0,0,0,0,334.7,1.43,0,5.16,0,0.68,6.53,0,0,1.29
 72-82,0,1.78,167.52,0,0,0,11.33,0,0,0,0,0,3.81,0,0,498.66,0,0,11.38,0,0,4.06,0,0,0
 84-94,0.57,0.55,139.01,0,0,0,6.08,0,0,1.22,0,0,2.45,0,0,382.19,0,0,11.26,0,0,3.74,1.91,0,1.25
 96-106,0,0,75.61,0.72,11.59,0,4.19,0.94,0,0,0,0,5.97,3.71,0,296.09,0,0,16.62,0,0,4.83,0,0,7.56
108-118,6.54,0,130.08,0,11.62,2.69,2.46,0.45,0.8,2.34,0.67,0.63,7.33,0,1.25,451.88,1.73,0,25.47,0,0,6.03,0,0,0
120,5.48,0,299.89,0,1.65,0,0,0,0,3.3,0,0,0,0,0,934.91,0,0,21.68,0,0,7.24,0,0,0
