stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.44,82.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.65,0,0,0,0,0,0,0,0,0
  7-9,0,8.91,0,10.76,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.59,3.22,0,0,11.69,0,3.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.31,13.74,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0.96,3.91,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,1.19,42.11,0,0,0,1.18,0,0,0,1.33,1.11,55.63,0,0,0,0,0
 24-34,0,0,0.97,0,0.7,0,0,6.56,0,0,0,0,0,0,0,0,0,3.26,3.31,0,0,0,0,0,0.61,319.25,0,2.4,5.18,0,0,0,0,0,0,172.27,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,12.46,0,1.39,0,6.9,0,1.6,0,0,0,0,1.99,0,0,2.18,0,0,2.06,865.06,0,2.94,2.33,0,0,0.79,0.59,0,0,272.94,0,0,1.36,0,2.21
 48-58,0,0,0,0,2.49,1.84,0,56.62,0,2.94,0,13.07,0,0,0,2.48,0.81,0,2.07,0,6.93,17.57,0.4,0.79,0.83,1425.28,0,4.08,4.61,0,0,4.74,0,0,0,264.98,0,0,0.77,0,1.26
 60-70,0,0,0,0,13.48,0,0,169.48,0,0.63,0.96,4.08,0,0,0,0,0,0,3.99,0,0,28.61,0,0.85,0,2323.67,1.31,4.39,6.75,0,0,0,0,0,0,313.4,0,0.9,0,6.23,10.2
 72-82,0,0,2.27,0,6.73,7.84,0,383.66,0.75,0,0,36.33,2.23,0,0,0,0,2.96,15.91,0,0,51.6,0,8.94,4.31,2605.38,0,7.61,15.63,0,5.78,0,0,0,0,244.11,2.42,7.14,1.48,10,0
 84-94,0,0,0,0,15.35,0,0,371.07,0.67,0.92,0,45.14,1.94,0,0,1.23,0,0,11.04,5.13,0,38.58,0,2.81,10.34,1702.9,0,3.03,10.18,0,0,2.92,0,0,0,207.79,1.79,2.01,0.82,3.74,0
 96-106,0,0,8.36,0,10.01,15.62,1.07,337.07,0,0,0,57.2,2.91,0,2.14,0,0,0,24,3.8,0,51.97,1.85,1.02,0.64,1583.63,0,6.57,13.48,0,1.54,4.57,0,0,0,119.84,4.3,3.2,2.1,8.21,0
108-118,0,0,2.74,0,17.96,2.02,4.17,399.49,4.16,0,0.65,29,2.31,0,0,1.35,0,0.46,18.46,0,0,48.79,0,13.96,0.95,1638.17,0,4.44,18.97,0,0.76,4.44,0,0,0,75.83,6.04,5.4,0.52,7.24,1.55
120,0,0,5.95,0,4.96,0,0,420.58,12.08,2.5,0,68.97,1.45,0,0,0,1.72,0,36.77,0,1.51,55.53,1.65,2.13,13.59,2890.67,0,6.02,20.97,0,0,0,0,0,0,128.66,0,4.13,0,3.35,0
