stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,88.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,13.53,4.32,0,87.59,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.36,0,0,18.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,103.67,1.09,0,0,0,0,0,0,0,0,0,3.29,0,6.21,24.72,0,0,0,0,0,1.13,0,1.96,1.11,0,0,0,0
 24-34,0,0,0,22.87,0,4.23,0,1.86,0,1.87,0,0,4.43,0,12.67,0,6.76,28.37,0,0,0,0,0,0,2.96,0,7.96,0,0,0,0
 36-46,0,0,0,24.92,0,0,1.9,0,0,7.97,0,0,0.57,0,22.34,0,6.74,29.65,0,0,0,0,0,0,1.32,0,1.3,0,0,0,0
 48-58,0,0,0,27.01,0,4.64,8.51,0,0,4.38,0,0,12.34,0,14.46,0,1.95,10.06,0,0,0,0,0,0,0,0,1.6,0,0,0,0
 60-70,0,0,0,32.25,0,14.33,0,0,0,31.1,0,0,19.16,1.2,14.54,0,7.41,25.68,0,0,0,0,0,0,3.56,0,5.84,0,0.69,0,0
 72-82,0,0,0,10.74,0,3.25,0.57,0.58,0,19.45,2.8,0,7.25,0,19.27,0,1.77,9.76,0,0,0,0,0,0,0,0,4.83,0,3.19,0,0
 84-94,0,0,0,16.23,0,3.39,3.86,0.56,0,27.44,1.36,0,14.8,0,34.24,0,3.25,1.37,0,0,0,0,0,0,0,0,0,0,0,0.63,0
 96-106,0,0,0,29.27,6.98,7.92,0,0.81,0,12.77,0,2.5,11.35,0,27.67,0,4.24,12.17,0,0,0,2.4,0.65,0.71,0,0,1.8,1.68,0,0,0
108-118,0,0.81,0,28.04,0,4.97,0.5,9.34,0,23.48,1.48,0,14.85,0,49.57,0,6.12,35.91,0,1.05,0,0,0.74,0,0.44,0,0,0,0,0,5.12
120,0,0,0,62.72,0,3.4,18.62,15.9,5.27,42.42,0,0,28.47,0,38.37,1.05,3.12,11.79,0,0,0,0,0,0,2.33,0,7.86,2.39,2.12,0,0
