stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.32,3.21,0,0,0,0,0,0,0,1.21,0,0,0.81,0,0,0,0,1.01,0,0,1.11,302.38,0,1.37,0,0,0,1.32,0,0,129.32,0,0,0,0,0
 24-34,0,17.8,7.8,0,0,17.16,0,0.61,0,3.7,0.67,0.82,0,34.32,0,0,0,0,10.17,0,0,3.57,1631.63,0.83,26.93,3.36,0,0,0,1.67,0,317.55,0,0,7.84,0,0
 36-46,0,8.08,8.85,0,0,21.56,0,0,0,7.79,0,0,0.73,20.69,0,0,0,0,7.14,1.5,0,1.61,4333.91,0,18.23,0,0,0,11.58,7.19,0,511.21,0,0,0,0,10.85
 48-58,0,7.77,17.29,0.4,0,216.27,0,0,2.77,47.97,0,0.48,5.85,4.63,0,0,1.37,1.69,21,0.63,2.23,8.72,6044,0.97,13.55,1.16,0,0.59,10.83,3.11,0.54,600.38,0,0,1.28,0,12.03
 60-70,0,2.08,23.49,0.57,0,478.11,0,5.76,8.38,22.87,0.81,0.61,0,5.41,7.43,0,4.48,2.53,82.77,0.57,12.12,1.47,9821.88,2.89,20.34,1.24,0,0,20.12,13.72,0,1061.79,0,6.7,13.04,0,7.45
 72-82,0,28.49,31.21,7.11,0,1611.26,0,7.39,12.18,119.94,5.26,0.66,8.21,9.44,6.6,0.83,12.15,7.5,213.68,0,14.92,7.51,10457.11,3.5,13.12,9.51,0,1.4,48.31,16.65,0,972.93,1.21,2.43,21.94,7.31,45.68
 84-94,0,28.59,70.24,13.99,10.69,1340.49,1.02,0,8.61,94.5,13.44,0.8,0,14.19,5.01,1.61,2.59,13.38,142,4.15,7.77,3.81,6678.18,4.52,17.62,9.3,0,0,61.8,56.29,0,558.63,0.78,1.26,7.63,5.37,5.21
 96-106,0,46.35,40.58,19.24,4.7,1414.36,0,0,3.68,121.97,41.1,0,2.91,18.2,2.48,3.27,43.61,0,194.88,0,8.1,5.05,5913.47,8.69,16.71,26.27,0,5.99,107.29,55.75,0,257.01,3.16,6.14,6.41,4.09,44.58
108-118,0,24.22,84.77,18.08,16.27,1906.91,0,8.16,3.03,94.96,41.99,2.63,6.1,31.24,3.29,2.27,117.97,0,259.1,2.59,5.33,2.99,8935.92,5.03,10.65,7.91,0,0,44.96,84.94,1.39,259.65,2.44,6.69,9.6,4.75,8.94
120,0,33.15,53,17.15,2.22,1897.53,0,34.02,19.12,120.82,31.47,0,8.12,12.18,0,1.74,143.08,0,240.48,4.5,0,13.86,12125.14,6.96,35.38,17.24,0,0,60.52,69.53,0,316.8,1.19,3.38,10.82,35.73,0
