stage,blastomeres,epidermis,eye,fin.epithelia,immune,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,paraxial.mesoderm
  3-4,184.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.62,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.43
 14-21,0,3.8,0,0,0,0,0,8.67,0,0,0,0
 24-34,0,4.34,0,0,1.36,0,0,0,0,0,0,0
 36-46,0,7.36,0,6.19,0,0,0,0,0,0,0,0
 48-58,0,4.61,0,2.85,0,0,0.74,0,0,0.55,0,0
 60-70,0,14.81,0,1.39,0,0,0,0,1.15,0,0,0
 72-82,0,3.07,0,0,0,0,0,0,2.42,3.07,0,0
 84-94,0,9.21,0,0,0,0,0,0,0,0,0,0
 96-106,0,4.17,0,0.57,0,0,0,0,2.81,0,0,0
108-118,0,0,0.94,6.85,0,0.72,0,0,1.68,0,0,0
120,0,3.94,0,0,0,0,0,0,0,0,0,0
