stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  5-6,10.21,25.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,2.57,0,0,0,0,1.85,5.16,0,0,0,0,0,0,0,1.78,0,0,22.35,0,0,1.23,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,25.54,0,0,6.78,0,0,0,3.3,0.68,11.04,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,86.57,0,4.41,1.98,0,0,0,0.58,0,25.63,0,0
 48-58,0,0,0,0,0.37,0,0,14.91,8.96,0,0,0,0,0,0,1.28,0,0,156.48,0,6.66,2.3,0,0,0,1.32,0,19.6,0,0
 60-70,0,0,1.23,0,0,0,0,45.19,1.43,3.94,0,0,0,0,0,0.88,0,0,330.64,0,6.47,1.74,0,0,0,5.37,0,35.51,0,0
 72-82,0,0,11.87,0,2.39,0,0.49,102.93,8.31,42.08,0,0,0,0,0.59,4.02,0,0,617.74,0,9.62,3.98,1.4,0,0,0.84,0,33.43,0,1.53
 84-94,0,0,8.04,0,1.35,0,4.99,86,6.18,56.59,0,0,0,0,0,4.5,4.09,0,354.13,0,22.81,7.45,0,0,0,9.41,0,17.38,0,0
 96-106,0,0,13.32,0,0,2.62,3.47,72.46,8.79,56.83,0,0,0,0,2.63,3.03,0,0.93,359.28,0,15.99,2.49,0,2.54,0,0.6,0,3.93,1.13,1.81
108-118,0,0,13.54,1.45,2.73,0,8.6,91.18,11.99,59.99,0,0,3.06,3.71,2.05,0,0,1.2,417.64,0.77,16.42,6.62,0,0.45,0,4.74,0,14.77,0,0
120,0,0,6.64,0,11.51,0,1.71,122.44,6.14,115.67,0,3.26,0,1.19,4.41,0,0,0,840.1,0,35.14,5.47,0,1.32,1.53,3.27,0,56.28,0,2.09
