stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,28.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,7.3,0,0,13.22,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0.86,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,4.01,0,0,0,0.7,0,0,0.61,1.49,0,0,9.61,0,0,0,0,0,0,3.29,0,0,0,0
 36-46,0,0,0,0.75,0,0.58,0,0,0,0,0,1.07,0,0.94,7.4,0,1.63,0,0,0,0,5.24,0,0,0,0
 48-58,0,2.31,0,5.34,0,0,0,0,0.41,0,0,1.12,0,0,17.41,0,0,0,0,6.44,0,2.16,0,0,0,0
 60-70,0,0,0,8.01,0.77,0,0,0,0,0,0,0.65,0,0,20.77,0,0,0,0,0,0,4.51,0,0,0.98,0
 72-82,0,1.52,0,12.34,1.84,0,0,0,0,1.55,0,5.96,0,0,11.48,0,3.03,0,0,0,1.09,0.58,0,0,0,0
 84-94,0,0,1.07,4.18,0,0,0,1.68,0,0,0,4.06,0,2.7,1.59,0,0,0,0,4.68,0,0,0,0,0,0.64
 96-106,0,0,8.15,0.74,2.27,0,0.87,0,0,0,0,3.72,0,0,7.98,0,2.47,0,0,0.56,0,0,0,0,0,0
108-118,0,0,0.9,1.99,1.06,0,1.75,0,0,0,0,5.95,0.42,0,8.61,0,1.69,0,0,0,0,0,0.42,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.12,0,0,6.78,0,6.74,0,0,0,2.12,0,0
