stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,221.5,1509.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.48,0,0,0,0,0,0,0
  5-6,952.33,2935.9,0,56.05,0,0,0,0,0,128.21,0,0,0,0,0,0,844.35,60.78,0,0,193.34,318.99,0,0,0,0,0,0,0
  7-9,933.14,69.01,0,520.01,0,0,4.14,0,0,259.56,0,0,0,0,0,0,878.64,580.27,0,0,2677.36,26.07,0,0,0,0,0,0,0
 10-12,0,54.6,0,159.14,0,0,4.64,0,0,20.79,0,0,0,0,0,0,239.46,288.37,0,0,918.91,7.99,4.76,69.46,0,5.74,0,0,0
 14-21,0,0,0,10.01,46.09,41.52,0,0.85,9.75,4.44,0,0,4,41.46,0,40.28,21.51,136.64,0,0.83,27.52,11.88,101.31,13.86,26.65,118.33,26.42,1.94,0
 24-34,0,0,0.61,0,0.67,0,0,0,0,0,0,1.31,0.66,4.01,0,0,20.29,0,0.78,0.73,0,1.3,0,0,0,0,0.89,2.76,0
 36-46,0,0,0,0,0,0,3.02,0,0,0,0,0,0,7.71,0,3.02,22.5,0.64,0,0,0,11.64,0,0,0,0,3.1,0,0
 48-58,0,0,0,0,0,0,10.05,0,0,0,0,0,0,4.48,0,0.81,22.83,0,0,0,0,0,0,0,0,0,3.07,0,0.42
 60-70,0,0,0,0,4.16,0,11.62,1.43,0,0,0,0,0,3.72,1.32,0,11.12,0,0.99,1.71,0,0.68,0,0,0,0,1.27,0,0
 72-82,0,0,0,0,0,0,6.95,0.54,0,0,0.5,0,0,4.78,2.8,0,19.83,0,0,1.95,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0.97,0,1.64,1.82,0,0,0,0,0,4.97,0,0,4.45,0,0,0,0,3.66,0,2.26,0,0,1.4,0,0
 96-106,0,0,0,0,0,0,2.7,1.46,0,0,0,0,0,4.41,0,2.01,6.73,0,0,1.95,0,0,0,0,0,0,0,0.57,0
108-118,0,0,0,0,0,0,1.85,0.7,0,0,0,0,0,5.41,0,0,0.58,0,0,0.84,0,0.51,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,34.83,0,2.49,0,0,13.32,0,0,0,0,0,0,0
