stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,67.77,0,0,0,0,0,0,0,0,19.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.66,0,0,0,401.1,0,0,0,0,0,0,0,0,968.17,15.95,0,21.32,0,0,0,0,0,0,0,0
 14-21,0,0,5.19,0,12.7,0,0,4.06,0,0,0,0,0,1958.33,0,0,0,0,0,2.29,0,480.68,0,0,0
 24-34,0,0,5.03,0.62,9.21,0,0,5.82,0.68,5.19,1.63,0,3.64,1601.9,0,0,0,0,0,0,1.48,118.36,0,0,0
 36-46,0,0,0,0,12.75,10.34,0,4.29,0,0,0,0,0,1520.34,0,2.52,0,0,0,0,0,33.03,0,0,0
 48-58,0,0,0,0,10.01,0,0.54,5.15,0,5.51,6.46,0.55,0,782.44,0,4,0,0,0,0,0,27.7,0,0,0
 60-70,0,0,0,0,3,0,0,15.61,0,0,0.8,0,0,513.01,0,3.69,0,0,2.11,0,0,9.02,0,1.12,0
 72-82,0,0,3.57,0.86,32.95,0,0,14.62,0,0,0.96,0,0,465.05,0,5.37,0,0,0,0,0,14.14,0,2.3,0
 84-94,0,0,15.03,0,17.9,0,0,15.24,0,0,6.67,2.12,0,320.74,0,1.31,0,4.71,0,0,0,8.04,0,0,0.74
 96-106,0,0,0,0,10.58,0,0,11.23,0,0,1.61,7.73,0,278.05,0,6.15,0,0,0,0,0,16.94,0,2.32,0
108-118,0,0.74,0,0,9.41,0,0,15.97,0,0,1.18,0,0,502.51,0,0.46,0,0,0,0,0,12.81,0.55,1.59,0
120,0,0,2.99,0,3.08,0,0,0,0,0,11.03,0,0,314.09,0,0,0,0,0,0,0,13.46,0,0,0
