stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.89,0,0,0,0,0,0,0,0,0,0
  5-6,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.13,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0
 10-12,11.99,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.46,6.88,0,0,27.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.64,0.85,68.03,1.81,6.23,0,0,0,1.34,1.03,0,0,3.97,0,0,0,0,0,8.2,0,0,2.96,139.27,3.25,4.36,0.94,0,0,0,1.85,0,0,2.64,83.45,0,0,0,0,0
 24-34,0,1.21,0,20.55,0,16.53,0,2.9,0,4.85,0,0,0,18.49,2.87,0,0,0,0,4.48,0,0,3.98,733.64,0.7,34.21,0.96,0,0,0.89,0,0,1.19,0.74,149.25,0,0,0.68,0,1.2
 36-46,0,0,0,1.23,0,143.75,0,0,0,32.69,0,0,0,12.86,1.61,0,0,0,14.43,4.52,0,0,2.01,2032.21,0,38.18,0,0,0,0.62,0,0,0,0,313.93,0,0,4.04,0,6.35
 48-58,0,0.54,0,2.34,3.59,569.03,0,0.37,0,57.7,0,0.37,0.49,22.49,0,6.55,0.45,0,6.33,20.92,0.95,0,3.74,2514.78,0,15.36,0.45,0,0,5.81,0,0,0,0,353.65,0,0,1.84,0,6.25
 60-70,0,10.91,0,9.06,0,1358.56,0,3.72,9.66,56.75,0.57,0,0,19.17,0,0,0,0,3.86,8.71,1.01,0,2.6,2909.95,1.01,20.82,0,0,1.9,5.36,0,0,0,0,318.14,0,0.6,4.4,0,8.13
 72-82,0,3.51,0,13.87,2.09,1342.55,0,1.07,0,49,1.87,0.52,0,28.09,2.43,1.21,0.72,6.13,0,30.75,1.05,1.11,0.54,1879.22,0,18.7,2.31,0,0,5.06,0,0,0,0,197.23,0,4.84,1.52,1.27,10.1
 84-94,0,2.29,0,4.7,0,831.09,0,0.62,1.27,40.1,0.93,0,1.02,56.69,2.06,0.67,2.39,1.57,0.59,24.09,3.64,5.04,1.01,1232.87,0,11,3.79,0,2.48,1.42,0,0.7,0,0,109.06,0,0,7.21,2.73,2.83
 96-106,0,3.94,0,15.6,2.09,783.58,0,2.13,2.44,32.96,4.57,0,0,53.17,0.59,1.86,3.55,1.58,0,21.27,1.86,1.06,0,937.88,0,15.51,5.13,0,0,2.21,0,0,0.68,0,26.94,1.82,0,7.25,0,0
108-118,0,0.92,0,14.48,1.36,614.04,1.3,1.84,0,56.32,2.42,0,0,48.58,1.41,0.42,5.01,11.24,0,20.37,0.53,0,2.89,1362.12,0.91,21.67,0,0,2.92,2.52,0,0,0,0,32.28,1.36,3.18,0.45,0.42,0
120,0,2.96,0,43.1,0,534.64,0,1.21,0,35.65,8.16,0,0,94.2,0,0,0,4.47,0,27.25,1.65,0,0,1520.51,10.32,9.22,6.39,0,0,1.01,0,0,0,0,61.7,0,0,20.77,0,0
