stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,136.73,5723.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.93,0,0,0,0,0,0,0,0
  5-6,92.75,1095.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.13,0,0,0,32.98,0,0,0,0,0,0,0,0
  7-9,4.9,0,0,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.34,0,0,27.32,0,6.96,0,0,0,0,0,0,0
 10-12,0,6.64,0,4.97,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47,0,0,14.65,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.27,4.91,3.69,0,8.37,0,0,0,0.82,0,0,0,0,0,0,2.66,0,1.64,42.24,0,1.71,0,1.54,0,6.34,0.85,4.96,5.25,19.25,0,0
 24-34,0,0,0,0,1.96,0,0,7.77,0,1.23,0.94,0,5.64,0,0,0,0,0,4.95,0,5.64,105.67,0,1.24,0,0,0,0,0,0,0,20.28,0,7.36
 36-46,0,0,0,0,0.6,0,0,17.74,0,0,4.27,0,0,0,0,0,0,0,8.64,0,0,162.42,0.58,0,0,0,0,0,0.6,0,0,16.56,0.74,0
 48-58,0,0,0,0,1.76,0.45,0,29.01,0,0,12.25,0,1.08,0,0.39,0,0,0,15.89,0,0.82,125.13,0,0.82,0,1.38,0,0,0,0,0,13.78,0,0
 60-70,0,0,0,0,2.38,0,0,72.21,0,0,1.29,0,0,0,0,2.78,0,1.05,13.97,0.65,3.6,63.9,0,4.54,0,0,0,0,0,0,0,4.88,0.75,0
 72-82,0,0,1.15,0,0,1.31,0,18.05,0,0,10.04,0,0,0,0,0,0,0,1.03,0,0.63,13.26,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.67,0,0,17.41,1.77,0,0,0,0,0.77,0,0,0,0,4.65,0,1.54,13.16,0,4.04,0,1.35,0,0,0,0,0,0,2.92,0
 96-106,0,0,0,0,0,1.86,0,20.43,0,0,9.12,1.89,0,1.34,0,0,0,0,9.04,0,2.13,12.12,0,0,0,0,0,0,0,0,0,4.01,0,0
108-118,0,0,0,0,0.97,0,1.62,5.49,0.63,0,3.6,3.02,0,3.11,2.3,0,0.45,8.22,6.35,0,0.45,9.65,0,0,0,4.97,0,0,0,0,0,0,5.5,0
120,0,0,0,0,2.32,0,0,18.02,0,0,17.57,0,0,6.46,1.59,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,8.25,2.28,0
