stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,29.28,0,0,0,14.06,0,0,0,0,0,0,0,0,0,275.34,4.25,0,68.88,0,0,0,0,0,0,0,0,0
 10-12,6.23,31.61,0,0,0,41.54,0,0,0,14.35,0,0,0,0,0,0,0,0,0,599.25,35.59,0,171.7,0,0,0,22.5,0,3.87,0,0,0
 14-21,0,2.54,18.34,5.08,0,9.46,0,1.08,1.21,1,1.74,0,0,0,0,1.15,22.1,0,1.79,102.27,4.05,2.87,4.54,0,0,14.64,0,0.99,14.79,48.13,0,0
 24-34,0,0.6,2.53,0.67,0,1.21,0,0.65,0,0,0,0,0,0,0,2.59,7.15,0,4.77,94.58,2.62,1.55,0,0,4.22,0,0,0,2.02,26.2,2.24,0
 36-46,0,0,0.65,0,0,0,0,1.39,0,0,0,0,0,0,0,0.67,5.12,0,0.74,50.49,0.71,0.89,0,0,2.33,0,0.63,1.32,0,10.68,1.7,0
 48-58,0,0,2.9,0,0,0.67,0,0.59,0,0,0,0,0,0,0,0,5.22,1.03,0.49,21.79,1.23,0,0,0.56,6.55,0,0,0,0,8.8,0,0
 60-70,0,0,0,0,0,0,0,3.08,0,0,0,1.38,0,1.2,0,0,2.43,0,0,28.67,0,0,0,0,4.99,0,0,0,0,3.42,0,0
 72-82,0,0,0.65,4.93,0,0,0,5.71,0,0,0,0.55,0,0,1.06,0,1.38,0.67,0,5.22,0.53,1.75,0,0,3.04,0,0,0,0,0,2.17,0
 84-94,0,0,0,0.69,0,5.02,0,17.74,0,0,0,2.31,0,4.43,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.98,0,0,0.91,9.27,0,0,0,2.08,0,0,0,0,0.68,0,0,11.31,0.7,0,0,0,6.53,0,0,0,0,5.69,3.1,2.93
108-118,0,0,0.76,0,5.03,0.59,0.48,12.16,1.1,0,0,2.08,0,0,0,0,3.18,0,0,16.62,0,0,0,0,8.72,0,0,0.53,0,1.42,1.09,0
120,0,0,0,4.28,0,0,0,4.9,0,0,0,0,1.25,0,0,0,1.58,0,0,2.03,2.55,2.34,0,0,3.93,0,0,1.22,0,2.14,0,0
