stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,12.74,0,15.45,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,34.12,3.96,0,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.43,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,129.31,32.62,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.54,0,0,1.77,0,1.01,0,0,0,10.01,0.9,0,0,0,0,0,0,0,2.53,0,0,0.93,44.3,1.08,0,1.07,0,0,0,0,2.07,0,0,1.82,216.79,0,0,0.93,0,0
 24-34,0,5.04,0,1.63,0,0,4.34,0,0,0,2.5,0,0,0,0,0.6,0,0,0.95,9.96,0,0,0,319.78,0.69,0,0.95,0,0,0,0,0,0,0,0,263.73,0,0,0.87,0,0
 36-46,0,5.96,0,1.83,0,0,17.25,0,0,0,2.71,0,0,0.57,0,0,0,1.14,0,13.38,0,0,0.83,693.3,0,4.15,0,0,0,0,0,0,0,0.58,0,248.14,0,0,1.56,0,1.91
 48-58,1.15,2.52,0,4.28,0,0,124.91,0,0,0,8.21,0.97,0,0.69,0,0,0,0,0,31.61,0,17.97,2.87,1000.1,0.53,2.14,0,0,0,0.93,0,0,0.74,0,0,280.7,0,2.26,2.84,0.9,18.18
 60-70,0,0,0,2.06,0,0,498.11,0,6.47,0,18.01,1.45,0,0,0,0,0,0,0,43.32,0,65.89,6.43,1367.95,0,0,0,0,0,4.31,0,0,3.75,0,0,178.58,0,52.45,0.7,53.31,0
 72-82,0,8.39,0,6.72,0,0,948.3,0,6.38,6.3,37.41,17.89,0,2.24,1.03,0,0,0,0,106.71,0,85.29,2.67,1442.76,1.26,7.42,0,0,3.9,5.14,0,0,0,0,0,242.43,1.01,68.99,9.16,92.36,13.65
 84-94,0,12.26,0,13.41,0,0,719.84,1.42,0,1.75,44.01,18.25,0,0,0.6,0,0,0,0,104.42,1.13,115.2,2.49,1010.63,0.85,9.98,0,0,2.14,2.89,1.4,0,0,0,0,151.01,0,79.71,7.17,145.43,9.49
 96-106,0,4.93,0,8.8,5.54,0,666.42,0,0,1.24,58,13.85,0,3,0,0.86,1.86,7.59,0,119.96,3.31,79.23,18.57,892.45,0,6.45,1.8,0,35.31,1.64,4.11,0,0,0.68,0,110.26,0.71,87.12,7.91,125.49,1.89
108-118,0,10.37,0,6.11,0,2.73,565.91,0.65,1.14,2.82,60.33,11.03,0,1.49,0,0,0,0,0,93.63,0,67.91,2.43,1260.78,0.77,7.44,0.74,0,28.51,3.36,0,0,1.88,0,0,79.27,1.46,67.75,3.56,97.32,0.91
120,0,14.78,0,12.17,0,0,390.73,0,0,0,48.98,9.1,0,11.08,6.68,0,0,0,0,73.41,0,80.18,0,1392.7,4.12,31.25,0,0,20.17,0,0,0,0,0,0,43.11,1.9,64.16,0,50.41,0
