stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.7,161.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.61,91.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.24,16.19,0,0,12.84,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,7.29,0,45.9,0,0,21.79,0,0,0,0,0,11.62,0,0,0,0,0,0,0,0,0,0,0,539.62,57.35,0,0,113.71,0,0,5.95,0,10.19,0,15.25,0,0,0,0,0
 14-21,0,0,0,15.31,22.42,2.65,8.97,0,0,0,3.77,0,0,5.73,0,0,0,0,0,1.65,43.25,0,0,51.2,148.15,2.78,3.47,4.27,2.22,0,1.5,2.47,47.86,0,202.57,122.69,60.73,0,0,0,0
 24-34,0,0,1.43,1.31,5.89,0,17.28,0,0.92,0.7,6.71,0,0,9.41,0.65,0,0.85,0.77,0.79,19.05,121.48,0,0,52.54,496.86,9.02,2.6,3.48,0,0,3.59,0,0,0,50.11,25.45,103.6,0,14.68,0,1.63
 36-46,0,0,0.85,0,2.33,0,40.37,4.65,0,0,25.04,0,0,2.74,6.86,0,0,0,10.06,32.41,108.72,0,0.6,21.17,605.22,1.04,2.58,0.74,0,2.1,1.04,0,12.21,0,18.78,1.09,172.64,0,29.51,0,4.47
 48-58,0,0,0,0,3.42,0,110.06,4.71,7.28,11.92,91.05,0,0,2.05,10.29,0,4.11,0,1.08,39.3,96.08,0,4.22,31.25,995.49,5.88,1.25,0.86,0,0,1.02,0,0,0,4.73,0,201.68,0,12.25,0,15.99
 60-70,0,0,2.75,0,19.49,0,141.05,5.33,7.34,5.21,155.33,0,0,0.76,0,0,0.81,0,0,39.34,212.42,1.1,2.26,24.48,1248.33,0,2.98,1.53,0,7.99,0,0,0,0,4.03,0,212.3,0.69,12.71,0,42.1
 72-82,0,0,1.55,0,13.76,12.55,170.6,0.8,0.55,14.13,150.73,0,0,0.98,4.17,0.53,5.7,1.18,15.36,45.98,240.05,0,14.65,21.92,1203.76,0,1.12,7.88,0,0,1.92,0,0,0,12.58,0,217.1,6.98,17.94,3.4,30.23
 84-94,0,0,1.86,0,21.73,5.75,103.29,2.14,1.37,8.54,94.9,1.94,0,1.46,2.49,0,15.28,0,2.63,139.85,207.72,0,17.08,16.22,874.59,0,0.7,0.71,0,5.16,0.64,0,0,0.74,0.75,0,100.06,13.34,12.47,7.66,6.77
 96-106,0,0,1.14,0,9.35,45.24,106.29,12.77,1.83,1.55,103.32,0.83,0,7.43,1.28,0.98,12.79,1.2,11.21,41.76,196.94,0,16.62,19.91,559.01,0.68,0,2.11,0,11.31,2.69,0,0,0,4.03,0,59.97,3.68,37.77,6.76,14.1
108-118,0,0,0.57,0,11.59,3.53,100.51,7.79,1.91,6.82,126.95,0.67,0,1.44,3.4,1.23,48.71,3.13,6.56,78.99,203.5,2.75,22.94,18.15,970.74,4.86,5.25,4.06,0,13.31,0,0,0,0,4.64,0,52.76,1.37,42.65,1.79,21.12
120,0,0,0,0,5.3,0,177.48,8.91,0,27.91,318.78,9.69,0,5.23,2.56,0,26.25,0,0,44.24,220.4,0,2.61,14.72,2173.19,0,9.62,0,0,15.76,0,0,0,0,1.21,0,80.17,3.62,75.77,22.91,23.09
