stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,xanthophores
  3-4,170.04,3797.19,0,0,0,0,0,0,0,0,0,0,0,0,0,177.35,0,0,0,0,0
  5-6,66.24,850.16,0,0,0,0,0,0,0,0,7.06,0,0,0,8.05,9.04,0,0,0,0,0
  7-9,0,19.3,5.57,0,23.85,0,10.55,0,0,0,249.63,0,0,0,26.77,0,7.32,0,0,0,0
 10-12,0,0,0,0,17.52,0,5.9,0,0,0,104.24,0,0,0,17.55,0,0,0,0,0,0
 14-21,0,0,0,3.1,3.19,0.95,0,0,2.31,2.4,52.71,1.36,0,0,0,0.9,0.91,0.85,2.64,10.66,0
 24-34,0,0,0,0,3.94,5.02,0,8.76,0.6,0.75,105.47,0,0.77,0,0,2.92,0,0,0,10.71,0
 36-46,0,0,0,0,22.29,0.67,0,34.07,0.66,0.73,38.69,0,0,0,0,1,0,0,0,8.28,0
 48-58,0,0,0,0,14.28,7.07,0,14.49,2.27,0.39,16.76,0,0,0,0,0,0,0,0,2.61,0
 60-70,0,0,0,0,4.34,0,0,0,17.49,0,6.7,0,0,0,0,0,0,0,0,0.67,0
 72-82,0,0,0,0,1.89,0.94,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,2.33
 84-94,0,0,0,0,0.6,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.75,0,0,0,0.85,1.01,0.98,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.86,0.41,0,0,0.51,0,6.06,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,4.97,2.35,0,0,1.24,0,20.56,0,0,0,0,0,0,0,0,0,0
