stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,85.21,2290.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.81,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.03,2093.57,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0,114.93,7.03,0,0,20.91,0,9.59,0,0,0,0,0,0,0,0,0,0,0
  7-9,51.39,53.08,0,96.63,0,0,236.61,0,0,0,0,0,42.59,0,0,0,0,0,0,0,0,0,0,1683.83,51.58,0,0,487.54,0,0,9.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.95,0,76.66,0,18,119.03,0,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0,0,1304.45,17.02,0,0,465.58,0,0,8.35,0,42.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.91,24.2,12.75,17.15,0,0,0,5.17,0,0,0,0,0,0,0,0,0,18.12,0,27.42,209.89,3.15,0,5.16,3.54,0,1.29,0,30.38,1.84,5.98,38.44,62.01,0,0,0,0,0
 24-34,0,0,0.84,0,8.44,0.66,12.61,0,1.44,0.61,3.14,0,0,0,1.02,0.68,0,0,0,0,25.68,0,5.98,304.58,1.34,0.94,1.93,0,0,3.2,0,0,0,0.82,1.89,48.24,0,0,6.69,0,0
 36-46,0,0,0,0,11.21,0,53.06,0,4.48,0,10.27,0,0,0,0,0,0,0,1.24,17.48,18.09,1.92,6.06,220.36,0,0,0,0,0,8.42,0,0.86,0,0,0,42.36,0,0,13.52,0,1.78
 48-58,0,0,0,0,3.01,0.77,56.43,0,0.44,2.95,15.87,0,0,0.41,0,0,0,0,0,2.98,27.86,0,8.07,160.1,0,0,0,0,0,2.07,0,0,0,1.46,0,32.53,0,0.85,7.84,0,0
 60-70,0,0,0,0,13.35,0,124.6,0,4.46,0.85,18.75,0,0,0.9,0,0,0,0,0,0,40.1,0.64,2.91,203.24,4.46,0,0,0,0,1.89,0,0,0,0,0,27.34,0,0,1.33,0.73,3.65
 72-82,0,0,0,0,1.16,0,74.83,0,1.29,2.98,22.84,0.56,0,0,0,0,0,0,3.49,0,48.46,0,2.42,144.03,1.15,0,2.67,0,0,0.56,0,0,0,0,0,21.56,0,0.52,7.05,0,1.99
 84-94,0,0,0.56,0,6.41,0,48.06,0,3.89,0,7.58,0,0,0,1.72,0.73,0.7,0,1.55,0,31.46,4.22,6.66,101.53,1.15,0,5.87,0,0,8.51,0,0,0,0,0,36.32,0,0,3.24,3.28,6.92
 96-106,0,0,0,0,2.32,0,72.18,0,0,0.81,15.37,1.49,0,0,0.62,1.14,0,1.88,0,0,37.06,0.59,3.66,77.34,0.77,0,2.76,0,4.36,7.03,0,0,0,0,0,14.38,1.23,0,8.91,0,3.68
108-118,0,0,0,0,5.02,0,17.38,1.11,1.66,3.49,19.19,1.91,0,0,1.4,0,3.74,0.56,0,5.3,54.29,1.6,6.06,160.8,0.47,0,0.43,0,0,18.55,0,0,1.11,0,0,7.91,0,0,0.66,0.72,6.78
120,0,0,0,0,18.28,0,15.11,1.26,0,1.47,18.43,1.14,0,0,0,0,2.95,9.45,1.12,0,69.9,0,13.37,188.38,3.44,2.88,5.9,0,0,8.5,0,0,1.02,0,0,0,0,0,2.19,0,0
