stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.66,94.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,262.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.22,0,0,0,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.49,0,0,0,22.53,0,73.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.9,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.6,3.95,0,0,280.36,0,13.18,6.05,0,59.87,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,6.45,79.67,6.34,0,0,0,0,0,1.53,6.79,0,0,1.78,0,0,0,3.31,1.26,0,0,18.23,13.96,0,0,19.67,0,34.78,0,39.76,0.82,0,9.63,16.66,0,0,0,0,0
 24-34,0,0,0,0.66,1.39,5.24,0,2.49,0,0,0,0,10.2,0,0,0,0,0,1.34,4.16,0,0,0.61,21.15,0.7,0,0,0,0,0,0,0,0,0.87,2.74,7.03,0,0,1.34,0,1.01
 36-46,0,0,0,0.67,0,0,0,17.48,0,0.89,0,2.11,38.73,1.33,0,0,0,0,12,5.84,0,0,0.66,11,0,4.27,0,0,0,0,0,0,0,0,0,2.27,0,0,1.01,0,1.11
 48-58,0,0,0,0.67,0.93,0,0,3.11,0.57,0,0.67,2.21,113.53,0,0,0,0.38,0,4.81,7.49,0,0,0.41,12.62,0,6.62,0,0,0,0,0,0,0,0,0,2.81,0,0,0.41,0,0
 60-70,0,0,13.29,0,2.73,0,0,18.35,0,0,2.71,2.6,263.74,0,0,0,8.02,0,47.5,15.32,0,5.83,0.65,14.49,0,14.88,0,0,0.96,0,0,0,0,0,0,1.73,0,1.97,5.64,4.34,0
 72-82,0,0,44.97,0,0.64,3.13,0,19.64,0,2.88,1.83,6.88,564.08,1.41,0.54,0,0,0,3.78,28.07,0,3.79,1.87,85.92,0,9.7,0.82,0,2.55,1,0,0,0,0,0,4.56,0,7.3,0,3.04,0
 84-94,0,0,34.64,6.39,0,8.83,0,12.31,6.75,1.37,0,2.83,1042.81,0,1.48,1.16,1.81,1.31,16.12,34.77,0,3.68,3.64,37.55,0,11.22,0,0,0,9.87,0,0,0,0,0,3.01,0,0.71,1.07,4.98,0
 96-106,0,0,50.81,14.21,7.25,5.54,0,37.69,0.92,0.69,1.09,16.93,1233.39,0,1.21,0,1.67,0,13.09,26.97,0,1.03,1.63,181.74,0,8,0.73,0,2.15,22.41,0,0,0,0,0,1.81,0.59,8.5,0,2.72,1.22
108-118,0,0,35.82,21.11,5.81,0.55,1.93,14.97,0,0.79,0,8.31,1196.81,0,0,0,0.91,0,3.67,11.58,0,1.05,2.46,134.07,0.42,1.67,1,0,0,8.05,0.79,0,2.45,3.18,0,0,2.19,0,3.47,5.77,0
120,0,0,64.36,3.25,3.54,0,0,33.47,3.87,0,1.83,2.91,852.85,0,0,5.09,0,0,24.89,21.85,0,0,0,133.61,2.77,21.79,0,0,0,7.85,0,0,1.22,0,0,0,0,0,0,1.96,0
