stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,11.48,157.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,138.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,6.78,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,31.27,0,0,0,2.78,0,32.65,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,112.61,0,0,0,0.94,0,82.83,0,0,0
 48-58,0,0,0,30.06,1.09,0,1.5,0,0,1.37,0,0.45,210.21,0,0,0,0.4,0,88.44,0,0,0
 60-70,0,0,0,124.18,0,0,8.63,0,9.62,0.66,0,0,339.53,0,0.62,0,0,0,87.89,0,0,0
 72-82,0,0,0,219.68,0,0,42.51,0,0,14.31,0,0,446,0,0.67,1.05,0.89,0,43.07,0,0,0
 84-94,0,0,0,204.83,0,0,20.41,0,0.67,7.28,0,0,296.44,0,3.1,0,1.62,0,26.17,0,0,0
 96-106,0,0,0,191.35,0,1.65,44.49,0,0,2.8,1.82,0,323.39,0.79,0,0,2.99,0,14.74,0,0,0
108-118,0,0,3.08,115.16,0,0,28.38,0.67,0,2.22,0,0,285.17,0,0,0,7.47,0.44,26.81,1.29,1.07,0.57
120,0,0,9.5,43.27,2.35,0,54.55,0,0,7.82,0,0,442.95,0,7.34,0,0,0,6.52,0,0,0
