stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.02,0,0,0,0,1.73,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1.99,189.03,0,0,0,0,0,3.62,0,2.08,0,0
 36-46,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,33.13,0,0,14.24,163.67,0,0,0,0,0,1.18,0,0,0,0
 48-58,0,0,0.79,0.92,0,0,0,0,0,0,0,0,0,0,0,0.96,0.57,171.24,0,0,12.83,127.87,0,0,0.7,0,0,0.81,1.3,1.35,0,0
 60-70,0,0,7.17,0,0,13.75,0,1.31,0,0,0,0.76,0,0,0,0,0,951.88,0,0.77,9.13,103.45,0,0,0,0,0,4.49,16.51,0,0,0
 72-82,0,0,8.22,1.36,0,28.85,0.7,0,10.23,4.52,0,0,0,0,0,2.53,0,1838.35,0,1.27,26.29,38.82,0,0,3.72,0,0,2.08,9.65,0.71,2.9,9.51
 84-94,0,0,16.39,0,0,51.54,0,0,0,10.55,0,0,0,0.71,0,1.5,0,2085.54,16.56,0.68,34.94,89.88,2.8,0,4.09,1.38,0,8.75,21.88,4.27,2.93,0
 96-106,0,1.91,21.17,11.68,0.9,28.89,1.01,1.43,0,6.92,0,2.51,11.55,0,0,1.03,0,1213.88,0,0,30.75,23.83,0.82,0,0,0,0,4.23,29.42,3.88,0,0
108-118,0,0,15.79,0,0,33.94,0.54,1.58,0,0,0.67,0,4.65,0,1.2,4.36,0,1293.81,9.73,0,27.76,32.23,0,4.55,0,0,0,0,41.63,1.56,0,0
120,2.37,0,28.01,0,2.48,15.24,0,3.32,0,26.52,6.6,0,10.69,0,0,3.29,0,2333.17,18.68,0,24.84,47.96,0,0,3.22,0,0,0,177.22,5.89,0,0
