stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.6,25.57,5.35,0,23.68,0,0,0,5.44,2.06,2.04,0,0,0,0,0,0,13.23,0,11.39,105.01,2.48,0,1.18,6.04,0,3.9,38.21,0.86,39.48,32.35,0,0,0,0,0
 24-34,0,0,0,3.97,4.32,0,13.88,0,0,0,0,1.02,0,0,0.7,0,1.09,0,0.62,14.58,0,3.67,94.41,0,6.01,1.84,0,0,5.04,0,0,3.01,23.21,0,0,4.65,0,0
 36-46,0,0,0.56,7.11,1.01,0,13.42,0,0,0,1.6,0,0,0,0,0,0,0,0,13.27,0.55,3.6,72.14,0.6,1.29,0,0,0,1.24,0,0.88,0,13.47,0,0,6.65,0,2.12
 48-58,0,0,0,0.96,0,0,32.32,0,4.35,0,7.71,0,0.45,0,0,0,0.41,0.39,0,8.76,0.94,4.03,127.89,0,1.6,0,0,0.45,0.38,0,0,0,11.84,0,0.64,0,0,0
 60-70,0,10.91,0,9.79,0,0,116.11,0,0,2.54,7.54,0,0,0,0,4.25,0,0,0,9.87,0.64,0,123.62,0,1.78,0,0,0,5.8,0,0.59,0,4.61,0,0,2.48,0,0
 72-82,0,0,0,1.51,2.81,0,140.25,1.01,0,0,25.3,0.51,0,0,0,0,1.25,0,0,12.64,0,3.02,152.97,0,2.36,0,0,0,0.98,0,1.55,0,25.32,0,0,4.3,0.77,0
 84-94,0,1.23,0,13.05,7.37,0,89.85,0.75,2.25,0,6.91,0.66,0.7,1.65,0,0,0,0,0,8.16,1.31,1.38,109.46,0,0,2.66,0,0,9.36,0,3.25,0,4.24,1.32,0,0,1.06,0
 96-106,0,0,0,5.8,0,1.03,82.33,0,0,0,4.68,2.77,0.95,2.56,0.68,0,0,0,0,16.69,0,3.17,107.6,0,7.11,0.72,0,0,13.1,0,1.35,0,7.32,0,0,3.47,1.37,0
108-118,0,0,0,5.06,8.09,9.49,91.14,0,0,0.86,12.92,1.96,0,1.98,1.49,0,0.6,1.26,0,32.66,0,3.25,130.53,0.95,2.23,1.48,0,0,13.05,0,1.09,0,2.54,0,0.52,2.18,0,1.71
120,0,0,0,8.12,0,1.91,63.91,0,1.09,0,31.7,1.31,1.15,1.96,0,0,0,0,0,18.17,0,14.81,122.1,3.24,1.26,1.1,0,0,13.72,0,0,0,4.39,0,0,0,0,0
