stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,36.38,683.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.97,582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.16,0,22.31,0,0,0,17.2,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0,225.75,25.8,0,0,69.71,0,19.9,0,0,0,0,0,0,0
 10-12,0,7.57,0,0,0,0,32.6,0,0,0,0,0,13.09,0,0,0,0,0,0,0,0,0,0,0,198.5,47.97,0,0,58.18,0,8.5,23.07,0,0,0,0,0,0
 14-21,0,0,0,5.88,15.72,0,1.93,0,0,0,0,0,0,1.07,0,0.82,0,0,2.94,0,7.23,0,0,1.16,15.95,2.81,0,0,0,0,0,0,2.11,2.41,5.67,0,0.85,0
 24-34,0,0,0,1.63,3.72,0,4.96,0,0.85,0,0,0,0,8.15,0,0,0,0.96,1.2,0,3.42,0,0,1.76,58,2.76,0,0,0,1.91,0,0,0,0,9.28,0,9.31,0
 36-46,0,0,0,0,0.67,0,9.57,8.3,1.75,0,3.32,0,0,0.84,0,0.58,0,0,0,0,14.55,0,0,0.71,35.39,6.11,1.27,0,0,1.82,0,0,0,0,9.36,0,23.84,0
 48-58,0,0,0,0.51,6.42,0,44.31,0,0,0,2.7,0,0.49,2.36,1.05,0.49,0,0,0,0,2.95,0,0,3.89,40.89,0,0,0,0,2.04,0,0.74,0,0,26.51,0,13.63,5.62
 60-70,0,0,0,0,4.94,0,103.49,0,1.18,0,7.47,1.69,0,5.85,0.64,0,0,0,0,2.31,35.32,0,0,1.83,99.74,0,0,2.92,0,2.52,0,0.68,4.78,0,23.66,0,7.82,11.22
 72-82,0,0,0,0.56,169.79,0,65.01,2.27,0,0,14.08,0,0,5.02,11.47,0,0.64,0,1.07,0,40.71,0,1.39,0.69,105.51,0,0,0,0,5.54,0,0,0,0,10.55,0,20.89,9.36
 84-94,0,0,0,2.42,116.23,0,94.05,0,1.62,3.12,16.27,0.68,0,0,0.67,1.45,0.66,0,0.68,4.83,23.91,2.15,2.76,0,56.52,0.83,0,3.29,0,13.8,0,0.57,0,0,7.49,0.71,11.52,6.16
 96-106,0,0,0,3.9,127.26,0,113.36,0,1.59,1.81,15.18,3.09,0,2.93,7.83,2.47,1.66,1.03,4.97,0.6,39.92,0,0,2.05,57.95,0,0,0,0,22.52,0,0,0,0,23.31,1.77,35.08,1.88
108-118,0,0,0,0.46,143.59,0.5,88.8,0.46,3.64,1.08,7.81,1.2,0,2.14,5.51,0.91,6.99,0,6.39,2.94,36.52,3.79,2.61,1.14,87.61,0.43,0,1.29,0,5.48,0,0,0,0,11.05,0,26.56,5.06
120,0,0,0,1.06,88.27,0,50.54,0,6.93,0,7.42,1.02,0,0,1.42,0,0,0,3.4,0,53.69,0,0,0,88.16,0,0,6.42,0,2.62,0,1.58,0,0,10.98,0,56.14,12.08
