stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,liver,muscle,neural,otic,periderm,spinal_cord,xanthophores
  3-4,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.56,0,0,6.92,0,0,0,0
 10-12,0,0,10.47,0,0,0,0,0,0,0,11.34,0,0,0,0
 14-21,0,0,0,5.12,0,0,0.81,0,0.93,0,5.21,0,0,0.91,0
 24-34,0,0,0,0,177.95,0.62,0,0,2.18,0.93,7.93,0,0,1.39,0.93
 36-46,0,0,0,0,30.88,0,0,0,0,0,0,0,1.69,3.02,0
 48-58,0,0,0,0,22.45,0,0,0,0,0,0.99,0,0,0,0
 60-70,0,0,0,0,0.59,0,0,0,0,0,0.61,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49
 84-94,0,0,0,0,1.91,0,0,0,0,0,0,1.68,0,0,0
 96-106,0,0,0,0,18.59,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
