stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,35.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.8,0,0,13.33,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,35.69,0,0,7.74,0,0,5.61,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0,0.96,0.9,0,0
 24-34,0,0,0,2.35,0,0,0,1.47,0,26.58,2.43,0,0,0,3.91,0,0,8.15,0,0
 36-46,0,1.03,0,12.81,0,0,0,1.61,0.61,31.2,0,0,0,0,1.02,0,0,10.25,0,0
 48-58,0,0,0,11.79,0,2.12,0,0,0.81,136.06,2.47,0,0,0,0,0,0,15.59,0,0
 60-70,0,0,0,51.08,0.94,27.68,0,1.76,0,194.02,0,0,0,0,0,0,0,10.69,0,0
 72-82,0,0,2.71,63.19,0,7.93,0,3.73,0,304.68,1.21,0.78,0,0,0.59,0,0,11.18,1.91,0
 84-94,0,1.05,0,61.73,0,11.02,0,5.28,0,144.35,0.66,0,0,0,0,0,0,23.52,0,0
 96-106,0,0,0,65.32,0,10.01,2.35,2.96,0,156.96,2.19,0.98,0,0,0,0,0,7.47,0,0
108-118,0,0,0,31.66,0,19.16,0,9.9,0.7,263.86,0,0,0,4.36,0,0,0,4.84,0,1.03
120,0,0,0,46.09,0,16.59,0,15.36,0,505.39,0,7.18,0,0,0,0,0,13.08,0,0
