stage,blastomeres,eye,glial,lateral_line,mesenchyme,neural,pericytes,periderm,somites,spinal_cord
  3-4,21.99,0,0,0,0,0,0,19.43,0,0
  5-6,9.74,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.19,0
 24-34,0,0,0,0,0,0.7,0,0,0,0
 48-58,0,1.61,0,0,0,0,0,0,0,0
 60-70,0,0.83,0,0,0,0,0,0,0,0.82
 72-82,0,5.7,0.7,0.53,1.48,5.01,0,0,0,0
 96-106,0,11.86,0,0,2.42,11.5,0,0,0,0
108-118,0,0,0,0,0,0,0.91,0,0,0
