stage,glial,mesenchyme,neural,spinal.cord
 24-34,0,0,2.51,0.79
 36-46,0.99,0,1.64,0
 48-58,0,0,3.34,0
 60-70,0,0,0.8,0
 96-106,0,1.05,0,0
