stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,81.79,2143.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.7,0,0,0,0,0,0,0,0,0,0
  5-6,127.26,2286.37,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,31.71,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
  7-9,32.54,58.09,47.41,0,0,87.89,0,0,0,0,0,39.57,0,0,0,0,0,0,0,0,0,0,0,1210.2,30.15,0,0,387.04,0,0,21.82,0,0,0,0,0,0,0,0,0
 10-12,0,23.23,92.39,0,6.59,130.42,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,1486.12,11.52,0,0,630.63,0,9.97,0,4.76,86.36,22.72,0,0,0,0,0,0
 14-21,0,0,1.76,11.11,14.18,15.26,0,0,0,5.7,0,0,0,0,1.11,0,0,0,0,10.61,0,0,5.91,191.51,2.03,2.21,0,5.35,0,10.3,0,17.33,0.89,13.08,61.03,0,0,1.82,0,0
 24-34,0,0.83,0,3.59,0.69,85.86,0,1.55,0,9.32,0,0,1.86,10.5,5.13,0.92,0,5.34,0,31.44,0,0,16,419.1,0.71,1.66,14.54,0,0,20.49,0,0,0,2.06,84.02,0,0,18.13,0,1.33
 36-46,0,0,0.56,4.23,4.67,143,0,0,0,5.24,0,0,0.56,2.34,0,1.49,0.8,1.62,0,50.98,0,0,4.71,256.28,0,1.71,1.82,0,0,7.63,0,0,0.62,0,53.03,0,0,1.01,0,2.18
 48-58,0,0,0,15.99,0.79,165.21,0.7,0.74,0,12.38,0,0,0,0.81,0,3.18,0,0,3.29,34.5,0,0,12.87,154.46,0.91,0,1.2,0,0.39,1.18,0,0,0,0,11.77,0,0,1.19,0,6.75
 60-70,0,0,0,14.38,0.66,117.56,0,2.04,0,20.58,2.81,0,0,4.89,3.74,0,0,0,0,40.53,0,2.22,6.41,126.73,0.83,0,1.67,0,0,6.22,0,0,0.6,0,5.39,8.54,0,1.11,0,6.67
 72-82,0,0,0,6.08,0,48.97,0,5.69,1.17,11.53,0.7,0,0.54,5.55,0,0,0,0,0,27.03,0,11,4.51,77.88,0,1.63,0,0,0,0,0,0,0,0,1.6,0,0,2.09,0,0
 84-94,0,0,0,6.35,0.64,45.45,0,0,0,9.05,5.48,0,0,3.33,0.73,0,0,1.62,0,50.92,0.78,0.9,4.31,79.35,0,0,2.02,0,0,4.42,0,0,0,0,1.39,0,1.9,0.95,0,0
 96-106,0,0,0,2.12,2.01,27.59,0,0.59,0,9.43,0,0,4.5,4.44,0,0,0.71,2.07,0,17.59,0,0,3.93,50.33,0,0,2.13,0,0,2.8,0,0,0,0,0,0,0,7.54,1.17,0
108-118,0,0,0,5.69,3.8,23.33,0,0.43,0,9.06,1.23,0,0,0.81,0.52,0,0,0,0,12.86,0,0.92,6.71,53.5,0,0,1.27,0,1.6,3.13,0,0,0,0,0.7,0,0,0,0,0
120,0,0,0,5.41,10.13,57.41,0,0,2.63,65.85,0,0,1.15,1.72,1.45,1.74,0,5.55,0,16.79,0,3.51,6.37,142.48,0,0,1.4,0,0,2.28,0,0,0,0,2.54,0,8.16,4.6,14.75,0
