stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,mucous,mural.cell,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,660.11,5430.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.32,0,0,0,0,0,0,0
  5-6,1022.63,11532.6,0,165.81,0,0,0,0,0,0,0,0,0,0,0,2774.93,78.28,0,837.3,0,39.02,0,0,0,0,0,0,0
  7-9,0,57.42,0,312.79,0,0,16.79,0,0,0,21.06,0,0,0,0,614.2,207.9,0,1464.08,0,0,4.57,0,0,0,0,0,0
 10-12,0,7.52,0,234.15,0,0,0,0,0,0,10.2,0,0,0,0,138.51,0,0,127.52,0,0,4.94,0,120.87,0,0,0,0
 14-21,0,0,0,3.75,2.9,27.19,0,0,0,0,0,0,0,0,0,5.97,0,0,0.9,0,0,0,1.9,0,2.02,0,0,0
 24-34,0,0,0,0,0,0,0.8,0,0.74,0,0,0,0,0,0,7.33,0,0,0,0,0.72,0,0,0,2.27,0,0.82,0
 36-46,0,0,0,0,2.58,0,18,0,0,0,0,0,0,0,0,22.49,0,0,0,0,2.19,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,14.29,0,0,5.83,0,0,1.63,0,0,16.38,0,0,0,0,0,0,0,0,0,1.81,1.48,0
 60-70,0,0,0,0,0,0,24.78,0,0,0.64,0,0,1.59,0,0.65,16.09,0,0,0,0,0,0,0,0,0,10.84,0,0
 72-82,0,0,0,0,0,0,12.54,0,0,6.87,0,0,5.99,0,0.69,42.71,0,0,0,0,0,0,0,0,0,0,3.2,0
 84-94,0,0,0,0,0,0,1.56,0,0,9.82,0,0,11.26,0,0.57,21.28,0,0,0,0,0,0,0,0,0,2.94,3.11,0.77
 96-106,0,0,0,0,0,0,10.19,0,0,9.32,0,0,0,0.97,0,7.9,0,4.02,0,4.28,0,0,0,0,0,0,4.17,0
108-118,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5.7,21.91,0,10.13,0,0,0.43,0,0,0,0,0,7.22,0
120,0,0,2.94,0,0,0,5.78,2.29,0,0,0,3.86,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,15.31,0
