stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,4.28,0,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.34,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,2.04,0,0,0,2.07,0,1.5,0,0,0,16.58,0,0,0,0,16.24,0.81,0,28.82,14.84,24.13,0,0,6.62,0,0
 24-34,0,0,0.67,1.52,1.28,0,0,2.2,0.68,0,1.02,0,0.73,0,1.66,0,0.77,0,0,4.92,0.74,0,0,5.97,154.2,0,0,0,0,18.45,0,0,3.54,3.2,76.69,0,0,33.05,0,0
 36-46,0,0,0,0,1.71,0,0,2.34,0,0,0,2.3,0,0,0,0.89,0,0,0,2.29,1.63,0,0,0,244.05,0,1.26,0,0,40.15,0,0,4.85,0,117.18,0,0,23.05,0,10.45
 48-58,0,0,0,0,2.3,0,0,28,0,0,0,17.11,0.49,0,0.95,1.51,1.36,0,0,1.99,6.58,3.4,0.4,2.79,334.97,0,0,0.4,3.66,14.2,0,0,0,0,114.22,0,0,25.83,0,0
 60-70,0,0,0,0,0,0,0,39,3.26,0,0,29.25,0,5.45,0,0,1.98,0,0,0,6.29,0,0,0.57,419.35,0,0,0.62,0,17.86,0,0,0,0,124.98,0,0,19.01,0,0
 72-82,0,0,1.46,0,6.55,0,0,95.81,0.74,0,0,18.97,0,0.6,3.44,2.96,0.63,0,0,1.32,6.07,0,0,0.5,538.92,0,1.21,1.27,0,12.58,0,0,0,0,87.91,5.31,0,70.23,1.73,6
 84-94,0,0,1.19,0,18.94,6.79,0,89.83,0.69,0,0,28.17,3.93,0,1.44,3.17,4.15,0.9,0,0,4.25,0,0,0,427.99,0,0,3.1,0,33.12,0,0,0,0,41.9,0,2.12,29.57,4.08,0
 96-106,0,0,1.14,0,6.11,1.49,0,130.43,0,0,1.04,24.52,2.2,0,9.48,6.3,5.53,0,5.38,0,13.93,0,0,2.72,372.28,0,1.85,0.6,0,20.21,0,0.6,0,0,71.26,0.61,3.85,66.05,0.98,1.45
108-118,0,0,1.79,0,16.66,0,4.8,129.33,0.46,1.33,1.23,34.93,3.48,0,8.2,4.32,0.44,1.91,0,2.41,9.03,0,4.41,1.13,476.45,0.43,1.35,4.15,0,13.31,0,0,0,0,47.98,6.5,0,48.41,1.03,10.87
120,0,0,0,0,13.46,3.78,0,110.99,1.06,1.12,0,48.12,4.79,0,0,4.8,0,5.47,0,0,22.51,0,0,1.11,1010,0,0,0,0,21.52,0,0,1.6,0,62.47,0,0,23.48,0,0
