stage,eye,ionocyte,lateral_line,periderm,spinal_cord
 14-21,0,0,0,0,1.02
 84-94,0,0.77,0,0.65,0
 96-106,0,0,2.27,0,0
108-118,1.87,0,0,0.53,0
