stage,blastomeres,epidermis,eye,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,xanthophores
  3-4,21.55,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.61,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.82,0,0,0,0,0,4.65,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.4,8.14,0,0
 24-34,0,0.78,0,0,0,0,0,0,0,1.25,0,0,0
 48-58,0,0,1.44,0,0,0,0,0,0,1.86,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.8,0,0,0,7.53
 72-82,0,0,0,0,0.91,0,0,2.82,0,0,0,0,0
 84-94,0,0.62,0.97,0,0,0,0,1.55,0,0,0,4.55,0
 96-106,0,0,0,0,0,1.53,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.56,0.75,0,0,0,0,0
