stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.77,144.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0
  5-6,17.48,104.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,15.57,0,92.07,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.39,15.76,0,0,80.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,133.74,0,0,48.53,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,307.22,0,0,0,86.21,0,0,0,3.51,0,0,0,0,0,0,0
 14-21,0,0,1.09,5.71,41.83,16.03,36.27,0,0,0,20.47,2.21,0,0,0,2.18,0,0,33.45,0,37.9,0,0,27.35,482.8,6.81,3.75,6.29,12.51,0,20.9,47.14,6.48,45.99,166.36,0,0,6.03,0,0
 24-34,0,0,0,1.34,31.4,0.77,128.55,0,1.52,2.46,18.7,0.92,0,1.76,0,1.98,0,7.48,7.78,0.62,142,0.79,1.21,68.35,1141.36,3.72,11.44,1.71,0,0,20.59,0,0,7.2,236.19,0,0,13.57,0,1.03
 36-46,0,0,0,0,34.73,0,196.32,0,2.55,1.72,35.82,0.95,0,0.9,0,1.03,0.83,2.17,2.24,0,100.18,0,4.62,32.58,643.27,17.13,3.39,3.22,0,0,4.7,0,0,0.83,108.55,0,0,6.74,0,0
 48-58,0,0,0,0.4,72.32,1.44,300.97,2.87,21.87,4.03,104.49,1.95,0,3.77,1.08,0,21.95,6.51,1.45,0,156.12,3.1,24.84,43.17,886.97,16.77,6.19,29.66,0,0,25.47,0,0,0,117.59,0,0.44,29.01,0,6.47
 60-70,0,0,0,0,74.15,0,217.37,0,18.6,3.59,100.38,0,0,1.45,1.88,24.52,48.71,14.03,0,0,105.31,0,13.99,20.59,591.42,2.08,5.71,17.36,0,3.3,12.41,0,0,0,52.36,0,0,7.62,0,0
 72-82,0,0,0,0,12.15,6.16,101.4,2.65,4.09,4.01,73.86,0,0,1.01,0.62,0,41.19,4.34,0,3.58,137.52,0,8.94,24.33,417.96,1.27,3.38,7.02,0,4.66,2.14,0,0,0,42.25,1.03,8.76,14.46,0,2.1
 84-94,0,0,0,0,27.06,1.05,66.49,0,1.63,4.52,57.91,0.57,0,0.7,1.78,4.78,48.98,1.57,0,1.11,129.79,0.97,9.71,22.47,197.34,1.73,1.26,7.72,0,1.65,7.38,0,0,0,35.31,0,7,15.02,5.87,0
 96-106,0,0,0,0,34.87,6.91,112.06,0,0,18.02,63.71,0,0,0.61,2.32,0,83.12,3.49,4.12,0,123.46,1.63,6.65,13.84,310.12,0.71,6.68,5.95,0,4.67,15.13,0,0,0,9.52,2.32,3.32,17.14,2.41,0
108-118,0,0,0,0,17.61,3.93,71.83,1.09,5.74,7.26,59.09,2.42,0,2.85,1.08,0.82,107.67,1.86,0,0,86.56,0,0.56,14.41,203.43,7.18,0.9,1.73,0,9.83,4.98,0,0,0,9.68,1.31,0,13.59,1.48,1.36
120,0,0,0,0,31.33,7.34,133.86,0,7.96,20.76,125.3,5.64,0,0,14.81,1.45,57.82,4.59,0,0,197.25,12.35,16.05,19.56,420.67,6.85,4,5.02,0,0,11.97,0,0,0,5.12,0,0,2.68,0,0
