stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,1.14,15.93,0,0,0,0,0,12.64,0,0,0
 24-34,0,0,4.71,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,26.36,0,0,2.94,183.98,6,0,0,0.93,0,40.11,0,0.73,0
 36-46,0,0,4.11,0,7.79,0,0,1.09,0,0.83,0,0,0,0,0,0,0,100.99,0,0,3.59,425.49,0,0,0,0,0,53.49,1.37,3.4,0
 48-58,0,0,12.18,0,45.11,0,8.39,0.58,8.25,0,0.54,1.38,0,0,0,0,0,204.42,0,2.94,13.68,626.42,0.96,2.77,0.73,0,0.73,76.74,0.85,2.2,0.5
 60-70,0,0,15.32,0,133,0,1.34,0,0.66,0,0,0,0,0,0,0,0,340.23,0,26.19,17.18,511.17,2.9,0,9.66,0,0,65.98,4.59,0,3
 72-82,0,0,19.49,0,101.34,0,0,14.82,7.22,0,0,0.55,0,0,0,0.57,0,498.06,0,30.15,13.29,509.35,0,0,2.13,2.73,0,59.05,16.2,10.25,15.73
 84-94,5.55,0,34.9,0,63.51,0,7.45,0.86,5.29,0,0,2.4,0,1.56,0,0,0,438.03,0,24.33,30.78,299.57,0,1.03,1.01,1.42,0,57.02,9.83,17.01,15.62
 96-106,0,0,24.76,0,68.51,1.62,3.49,0,2.45,1.71,0,0,0,0,0,0,2.16,513.19,0,34.7,20.96,242.67,0,3.9,0,4.11,0,52.97,26.47,16.31,19.95
108-118,0,0.49,55.31,0.72,55.75,2.88,5.82,1.84,4.78,0,0,2.75,0.43,0,2.03,0,0,598.34,1.15,35.86,17.98,350.65,0,2.89,0.86,0.77,0,36.69,26.52,11.65,13.18
120,0,0,71.34,0,103.67,2.52,14.29,0,1.21,9.76,0,8.12,0,0,0,0,0,523.84,3.12,29.67,20.47,470.3,0,2.38,2.76,0,0,56.39,20.33,31.06,9
