stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,14.43,204.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0
  5-6,11.21,141.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,6.32,0,0,0,0,0,0
  7-9,0,9.74,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,3.7,0,0,0,0,0,0,0
 10-12,0,0,0,12.27,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0,172.4,0,0,0,0,9.97,0,0,0,0,0,0
 14-21,0,0,0,0,7.2,0,1.49,0,0,2.16,1.95,0,0,0,0,0,0,0,2.15,2.21,0,1.86,0,3.79,0,0,0,0,0,0
 24-34,0,0,0,0,0.63,0,1.39,1.42,0,0.63,0.66,0,1.29,3.84,0.81,0,0,2.14,2.92,0,0,5.77,0,4.43,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.62,0,0,0,0,0,2.01,0,0,0,0,2.56,0,0,4.05,0,4.67,0.91,0,0,0,0,0
 48-58,0,0,0,0,1.21,0,4.31,0,0,0,2.77,0,0,0.65,0,0.39,0.53,0,1.13,0,0.37,6.19,0,3.83,0,0,0.47,0,0,0
 60-70,0,0,0,0,0.6,0,7.55,0,0,0,0.97,0,0,1.69,0.99,0,0,0,4.8,0,0.83,0,0,4.04,0,0,1.48,1.22,0,0
 72-82,0,0,0,0,4.82,0,4.1,0,0,0.74,0,0.59,0.95,0.97,3.92,0,0,0,7.37,0,0,4.31,0,4.58,0,0.75,0,0,0,0.96
 84-94,0,0,1.18,0,0,0,15.8,0,0,0,0.99,0,0.69,0.64,1.44,0,0,0,3.6,0,0,12.16,0,10.44,0,4.84,0,0.57,0,0
 96-106,0,0,0,0,7.4,0,13.53,0,0,1.49,0,1.7,2.01,4.04,6.94,2.99,0,0,2.51,0,6.32,10.12,0,31.41,0,0,0,0.85,1.34,2.55
108-118,0,0,0,0,5.45,0.82,2.58,1.69,1.86,1.57,0,0.49,0.47,3.43,5.09,6.56,0,0,3.93,0,0,14.8,0,19.33,0,0.71,0,7.91,0,0.59
120,0,0,0,0,2.48,0,0,4.34,0,0,0,0,2.47,13.91,2.88,0,0,0,11.36,0,9.51,13.74,0,8.2,0,0,0,11.65,0,0
