stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0.81,0,0.92,0,0
 24-34,1.63,0,0,0,0,0.6,0,0,0,0,0,0.87,8.57,0,0,0,0,5.56,0,0
 36-46,0,0,0,0,2.25,0,0,0,0,0.73,1.5,4.46,4.81,0,0,0,0,1.38,0,0
 48-58,0,0,0,0,0,0,3.43,0,0,0,0,4.99,9.27,0.82,0,0,0,3.12,0,0
 60-70,0,0,0,5.26,0,0,0,0,0,0,0,0,30.1,0,0,1.06,1.29,0,0,0
 72-82,0,0,0,10.82,0,1.49,0,0,0,2.17,0,0,20.04,1.53,2.6,0.55,0,0,0,0
 84-94,0,0,0,16.16,0,0,0,0,0,7.16,0,0,1.93,0,1.02,0,0,0,0.9,6.27
 96-106,0,0,0,0,0,0,0,0.58,1.03,0,0,0,2.32,0,0.8,0,0,0,0,0
108-118,0,0,4.71,0,0,0,0,0,0,0,0,0,4.13,0,0.6,0,0,0,0,0
120,0,1.85,0,0,0,0,0,0,0,0,0,3.15,5.92,0,0,0,0,0,0,0
