stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,113.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,25.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.15,12.55,0,0,14.2,0,10.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.08,21.95,0,0,40.16,0,11.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.88,21.61,2.33,0,0.81,0,0,0,1.09,2.35,0,0,0,0,0,0.92,0,6.19,0,0,5.53,54.71,1.65,1.08,0,0.88,0,100.2,5.28,1.79,2.08,4.37,16.58,0,0,17.98,0,0
 24-34,0,1.76,1.72,54.22,2.61,0,4.45,0,2.47,1.21,2.13,0,3.27,3.32,2.49,0,0,5.79,0,8.8,0.76,0,10.09,48.54,0,0,0,0,0,393.2,0,1.65,0,0.61,14.71,0,0,58.48,0,0
 36-46,0,0,0.56,53.68,0,0,10.04,0,8.14,0,1.93,0,4.75,0,0,2.31,1.17,0,0,35.51,8,0.89,1.45,36.64,0,0.7,0,0,0,525.46,0,1.2,0,0,18.38,0,0,49.04,0,2
 48-58,0,0,0,81.94,0.41,0,17.38,0,4.72,1.68,0.65,0.56,6.43,1.26,0,0,2.62,0,0.59,27.32,2.29,0.79,5.02,34.38,0,0.47,0,0,0,340.59,0,1.25,0,0,6.15,0,0.61,37.48,0,0.83
 60-70,0,0,0,66.15,0,0,2.41,1.23,13.09,0,0.6,3.22,7.73,0.92,0.58,0,3.68,1.35,0,51.63,4.76,2.52,0.84,45.42,0,0,2.75,0,0,379.07,0,0,0,0,4.63,0,1.5,47.51,0,0
 72-82,0,1.21,4.06,66.73,1.07,0,25.87,0.5,7.45,2.09,14.84,9.22,3.16,1.21,4.49,0,7.98,3.8,0.57,109.11,0,2.66,2.14,25.92,0,2.31,0.56,0,0,313.52,0,0,0,0,4.98,1.74,3.78,105.82,3.16,3.22
 84-94,0,2.34,1,175.31,7.56,0,11.05,0,18.52,3.05,9.83,24.58,5.64,7.12,16.38,0.68,8.39,3.13,0.83,64.25,5.02,7.99,0,45.78,0,1.84,3.61,0,0,702.34,0,1.29,0,0,1.73,3.46,3.08,80.15,0.82,2.12
 96-106,0,3.08,0,154.25,4,0,49.05,0,13.71,2.3,23.29,36.42,6.21,6.45,15.55,2.17,15.1,15.67,0,88.74,8.04,2.97,1.79,50.98,0,1.03,1.91,0,2.36,581.97,0,1.92,0,0,0,6.68,2.9,108.73,2.92,7.75
108-118,0,2.49,0.74,139.08,0,2.61,12.95,0,25.94,2.35,16.72,39.63,2.43,5.27,12.77,0,12.66,4.09,0.91,127.4,7.94,11.36,3.97,20.38,0.56,5.91,3.25,0,2.11,431.3,0,0.53,0,0,1.86,16.27,0.84,51.9,2.46,5.06
120,0,3.01,0,124.75,0,0,16.78,0,24.34,0,4.16,47.92,0,4.74,4.99,0,5.32,0,0,127.42,6.72,19.54,8.24,33,0,0,0,0,0,267.23,0,5.01,0,0,0,1.09,3.38,99.55,0,0
