stage,erythrocytes,eye,glial,immune,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.91,2.76,0,0.9
 24-34,0,0,0,0,0,0,1.45,3.71,0,0,0,0.73,0,0
 36-46,0,1.56,0,0,0,0,0,3.32,0,0,1.34,1.26,0,0
 48-58,0,0,0,0,0,0,0,2.82,0,0,0,3.15,0,0
 72-82,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.92,0,0,0,1.94,0,0,0.57,0.63
 96-106,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.92,0,5.16,0,0,14.25,0,0,0,0,0,0
120,0,0,0,3.52,0,0,3.16,0,0,0,0,0,0,0
